qid,question,correct_answer,model_generated_answer,model_generated_answer_text,model_comparison
119,what is the priority for france under person in the image?,1,1,to refocus European policy on growth,1
120,what is the priority for france under person in the image?,3,3,to refocus European policy on growth,1
121,when did person in the bottom of the image go on strike in south africa?,1,0,November,0
122,who did woman in the center of the image write hold on for?,0,3,Arkansas Shakes,0
123,who elected person in the image as the new prime minister of ethiopia?,1,3,The Ethiopian Peoples' Revolutionary Armed Forces,0
124,who is the current ambassador to ethiopia after woman in the image became the leader of the ePRDF?,1,2,William Wilkens,0
125,what is the percentage of tigrayans in person in the image?,3,2,10.1 percent,0
126,when does woman in the image visit israel if he is elected?,0,0,next year,1
127,what did person in the image do to strengthen ties with israel?,3,1,halting all civilian and military cooperation with Israel,0
128,what did person in the image do to strengthen ties with israel?,1,3,waging a war against Israel,0
129,what did person in the image do to strengthen ties with israel?,0,1,increasing overall civilian cooperation with Israel,0
130,who is running against woman in the image for president in 2012?,1,3,Louisiana governor Bobby Jindal,0
131,who did person in the bottom of the image and tom jones write for?,1,3,Jones,0
132,who is the leader of man in the right of the image?,1,2,Joes al-Khazali,0
133,who did woman in the right of the image meet in egypt?,3,3,Egyptian Foreign Minister Mohammed Kamel Amr,1
134,who was talking to person in the right of the image about the ceasefire in jerusalem?,2,2,Egyptian Foreign Minister Mohammed Kamel Amr,1
135,where did the first protest against person in the bottom of the image take place?,1,0,Aswan,0
136,what is the name of the group that is opposing person in the bottom of the image?,1,3,Jama'at al-Muslimin,0
137,person in the left of the image are there in the lucy river?,3,1,Forty-eight,0
138,who is the leader of person with the black suit in the image in syria?,3,1,Bashar Assad,0
139,who is running for president in egypt as woman with the black suit in the image?,1,1,Abdel-Moneim Abolfotoh,1
140,who are woman with the black suit in the image running for president in egypt?,3,0,Aya Alzubaidy,0
141,what is the significance of the victory of man with the sunglasses in the image in gujarat?,3,0,"a state that has become an economic powerhouse under his watch, but he is also credited with causing great inequality and poverty. That is in stark contrast to many others parts of the country, where graft and lack of governance have set back the economy.",0
142,what is the significance of man in the center of the image in gujarat?,2,1,failure to spur development in Gujarat,0
143,what is the significance of the victory of man in the center of the image in gujarat?,0,2,failure to spur development in Gujarat,0
144,who is person in the image of the national nra?,0,0,Wayne LaPierre,1
145,what is the issue that person in the right of the image is talking about in his speech tonight?,2,0,positive political advertising in the U.S. presidential campaign,0
146,who is to blame for the european debt crisis according to person in the left of the image?,0,0,European leaders,1
147,who is woman in the image of the french socialist party?,1,1,Jean-Marc Ayrault,1
148,who was person with the purple shirt in the image of mombasa republic council released from prison?,0,3,Omar Mwamnuadzi Jr.,0
149,who wrote the music for person in the center of the image and vococo?,2,2,Sally Dworsky,1
150,who is the music director and man in the center of the image for voco?,2,2,Sally Dworsky,1
151,who wrote the music for voco when i was man in the center of the image?,1,1,Sally Dworsky,1
152,where is the next presidential debate between person with the white shirt in the image and president?,2,2,Hofstra University in New York state,1
153,who's running for president in 2012 with person with the white shirt in the image?,3,2,Barack Obama,0
154,who was arrested during a freedom march organized by person in the left of the image?,0,0,Opposition leader Sergei Udaltsov,1
155,where does the majority of american support for person in the left of the image come from?,1,2,12 key U.S. non-swing states,0
156,when did mitt mccain release his tax returns to person in the left of the image?,1,2,2014,0
157,what is the charge against woman in the image in sweden?,0,2,"accused of raping one man and “sexually molesting and coercing” a second man in 2010, has repeatedly said the sex was consensual and that allegations are politically motivated",0
158,who is involved in the peace talks with man with the black suit in the image?,0,3,the Revolutionary Armed Forces of Chile,0
159,who is involved in the peace talks with person with the black suit in the image?,2,1,"the Revolutionary Armed Forces of Venezuela, better known as FAV",0
160,who was person in the center of the image of vietnam before trong?,2,0,Chung,0
161,who was man in the right of the image to call for a special congressional committee to investigate the british attack in bghazi?,1,3,John McCain,0
162,when did person in the right of the image say the video was a spontaneous demonstration?,1,2,Four days after the Benghazi attack,0
163,when did man in the center of the image become the us ambassador to the un?,1,0,2010,0
164,who is the new president of russia after man in the center of the image resigned?,3,2,Vladimir Putin,0
165,who is the new president of russia after person with the black suit in the image stepped down?,1,1,Dmitry Medvedev,1
166,who is the head of the united states military under person in the left of the image of defense?,1,1,General Martin Dempsey,1
167,person in the left of the image who said god does n 't exist?,2,1,Osama bin Laden,0
168,who won the country music award for woman in the center of the image?,1,3,Sugarland won the award for Vocal Duo of the Year.,0
169,where is person with the black suit in the image of the united states speaking tonight?,2,0,the city's Jewish synagogue at the local high school.,0
170,what is the speech between person in the right of the image and mccain?,3,2,"at an annual conference hosted by the city's Convention and Visitors Bureau at the luxury Waldorf-Astoria Hotel. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.",0
171,what kind of speech does oregon give to man with the black suit in the image tonight?,0,1,"at an annual fundraising dinner hosted by the city's Mayor at the local park. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.",0
172,when do oregon and person with the black suit in the image meet for the first time?,1,1,Thursday night,1
173,when did france change its name from madame to man in the right of the image?,0,1,2015,0
174,how many ministers are there in the french government for man in the right of the image?,2,0,no ministers,0
175,who is the us ambassador to afghanistan when person in the image is there?,0,0,Secretary of State Hillary Clinton,1
176,who was person with the black suit in the image of the democratic republic of africa at the time of the summit?,3,0,Bashar al-Assad,0
177,who is the leader of person in the left of the image?,2,1,Omer Mwamnuadzi,0
178,who is the leader of person with the purple shirt in the image?,2,1,looker Mwamnuadzi,0
179,who was the us ambassador to bangladesh during the reign of man in the image?,2,3,Ronald Wayne,0
180,who has the power to remove man in the image in iraq?,2,2,the assembly,1
181,who did person in the left of the image meet with in afghanistan?,0,0,Zalmai Rassoul,1
182,who was person with the black coat in the image that tried to overthrow the government of turkey?,0,3,Adnan Menderes,0
183,who is running for president in 2012 with woman with the white shirt in the image and mitt Romney?,0,1,President Biden ,0
184,what is the role of person in the image in pakistan?,2,2,Prime Minister Raja Pervez Ashraf to submit a report on his findings by July 25.,1
185,who is the new prime minister of man in the image ashraf?,2,1,Prime Minister Imran Khan,0
186,who was the president when man in the right of the image was released?,0,2,"Ma Ying-jeou, a former general",0
187,who is the leader of burma now that man in the right of the image is free?,2,1,General Secretary Thein Sein,0
188,how many delegates did mccain get in texas primary for man in the left of the image?,0,0,58,1
189,where did mitt mccain go as man with the black suit in the image?,0,1,Connecticut,0
190,how many delegates did man in the left of the image need to win the texas primary?,3,3,58,1
191,how many delegates did man in the left of the image need to win the texas primary?,2,1,55,0
192,how many delegates did mitt person in the left of the image need to win the texas primary?,1,3,52,0
193,how many delegates did man with the black suit in the image get in the texas primary?,1,3,8,0
194,how many delegates did man with the black suit in the image need to win texas?,3,0,48,0
195,who is man in the left of the image of the nobel prize?,1,1,Mo Yan,1
196,who is running for man with the black suit in the image in japan?,2,2,former prime minister Shinzo Abe,1
197,what is the charge against person in the left of the image?,3,2,hooliganism motivated by gender hatred.,0
198,what is the charge against person in the left of the image?,2,1,hooliganism motivated by political hatred.,0
199,who is involved in the conflict between man with the white dress in the image and turkey?,0,0,Turkish state,1
200,who ran against person in the image in the recall election?,3,3,Milwaukee Mayor Tom Barrett,1
201,where are person in the left of the image for president?,2,2,"eastern state of Virginia, while Romney has a campaign event in the western state of Nevada.",1
202,where is person in the left of the image campaigning in the final days of the campaign?,0,1,southern state of Virginia,0
203,where are person in the left of the image and mccain campaigning in virginia?,2,3,the southern state of Virginia,0
204,who is person in the left of the image for president of china?,0,0,Mitt Romney,1
205,who does the president run as person in the left of the image for?,2,3,poor Americans,0
206,person in the left of the image in michigan in 2012?,1,3,"Des Moines, IA",0
207,when did the taliban plan to kill man in the center of the image?,2,1,a few days ago,0
208,when does maria palfrey and person with the glasses in the image set sail for cuba?,0,2,Friday evening,0
209,what does man in the right of the image want to do to help small businesses?,1,2,subsidies for large businesses,0
210,what are the problems facing the us economy right now according to man in the right of the image?,1,2,stagnating economic growth,0
211,what is on the to-do list of man in the right of the image?,3,2,fixing the economy,0
212,who is the new prime minister of ethiopia after person with the black suit in the image died?,3,0,Abiy Ahmed,0
213,who is the foreign minister of ethiopia who is mourning the death of person with the black suit in the image?,0,2,Dina Mifti,0
214,who is going to be the guest of honor at the funeral of person with the black suit in the image?,1,0,current South African President Cyril Ramaphosa,0
215,what is the next step for person in the left of the image and ocollo?,3,3,televised debates,1
216,where did person with the black shirt in the image of state clinton give her speech on china?,3,3,International Women's Leadership Forum in the Mongolian capital,1
217,who did person with the black suit in the image of state visit in mongolia?,3,1,Nambaryn Enkhbayar,0
218,who did person with the black jacket in the image of state visit in mongolia?,0,1,Yumjaagiin Tsedenbal,0
219,why is person with the black jacket in the image of state traveling to asia?,3,2,to enhance economic growth and opportunity.,0
220,who did person with the black suit in the image of state visit in mongolia?,0,0,Tsakhia Elbegdorj,1
221,who did secretary of man with the black jacket in the image meet with in mongolia?,3,3,Tsakhia Elbegdorj,1
222,who did secretary of person in the center of the image meet in mongolia?,3,3,Tsakhia Elbegdorj,1
223,who is person in the left of the image of jordan confirming today?,0,3,former Syrian Prime Minister Ahmed Hijab,0
224,who was the man who blew up the plane in woman in the left of the image?,0,0,Convicted Lockerbie Bomber Dies After Cancer Battle,1
225,what is woman with the red shirt in the image doing in vietnam?,2,0,promoting U.S. investment and raising issues with the local government.,0
226,what is woman in the left of the image doing in vietnam?,2,2,promoting U.S. investment,1
227,who is person in the center of the image of ethiopia?,0,0,Bereket Simon,1
228,who is person in the center of the image of ethiopia?,1,1,Bereket Simon,1
229,what is the main demand of man in the right of the image during his hunger strike?,3,3,the removal of the Congress-Party led government.,1
230,what is the main demand of person in the right of the image on hunger strike?,2,2,the removal of the Congress-Party led government.,1
231,who is man in the left of the image at the time of the 2012 election?,2,2,Timothy Geithner,1
232,who is talking to person with the black suit in the image about the fiscal cliff?,3,1,House Speaker John Boehner,0
233,when does person in the left of the image start in china?,2,1,Wednesday,0
234,where did person in the left of the image die in china?,2,1,Beijing,0
235,when does person in the left of the image go on trial in china?,1,2,Monday,0
236,who is accused of killing bo man in the left of the image?,1,3,Mao Zedong,0
237,where did woman in the left of the image march in vietnam last week?,0,0,Hanoi,1
238,who does person in the center of the image meet in india during her visit?,1,2,Narendra Modi,0
239,who does person in the center of the image meet in india during her visit?,1,2,Rahul Gandhi,0
240,who is elected president of egypt after person in the left of the image took oath of office?,3,3,President-elect Mohamed Morsi,1
241,who is the man who is giving hope to woman in the top of the image in south africa?,2,0,"Thulani Madondo, a founder of the Kliptown Youth Project, or KYP, is not a man.",0
242,who is person in the right of the image of cutting social welfare programs?,3,2,Mitt Romney,0
243,where does person in the right of the image come from in the 2012 presidential campaign?,1,1,Wisconsin,1
244,where does mike ryan live at person in the right of the image?,3,2,Milwaukee,0
245,who is person in the right of the image running for us president in 2012?,0,2,Texas senator,0
246,how old is chuck person in the center of the image in the olympics?,3,1,22,0
247,what does person in the center of the image say is the difference between the olympic and para olympics?,2,2,athletics,1
248,who was person in the right of the image of facebook when it went public?,1,1,Mark Zuckerberg,1
249,what does person in the image call the biggest problem in the world today?,0,3,kidnapping,0
250,what does person in the image link the united states and britain?,2,0,"Emancipation Proclamation, the document that proclaimed the freedom of slaves during the U.S. Civil War, two years before slavery was informally outlawed",0
251,what did person in the image say to the victims of human trafficking?,0,2,"the people who are in slavery chose to be there, they're not victims",0
252,who was involved in the talks with person in the image?,1,3,Afghan government officials,0
253,when did person in the image mitt regan condemn the attack on the us consulate in egypt?,0,3,Thursday,0
254,where is person in the center of the image going on his foreign policy trip?,1,0,Iraq,0
255,where is mitt mitt going as person in the center of the image in chief of the armed forces?,0,3,Greece,0
256,who said he is person in the center of the image in american power?,1,0,Independent Mitt Romney,0
257,who is the pollster who is running for person in the left of the image in ohio?,1,0,Tony Fabrizio,0
258,who is running for man in the left of the image in the united states in 2012?,0,0,Romney,1
259,when did mitt person in the left of the image start campaigning for president?,2,0,5-Mar-12,0
260,who is the pollster who says person in the left of the image won ohio?,3,3,Larry Sabato,1
261,who was man in the image to defect from syrian government?,3,0,Riaz Hijab,0
262,who was man in the image to defect?,0,3,Riaz Hijab,0
263,what happened to the bbc's editor in man in the image?,0,3,BBC Chief Fired Amid Programming Scandal,0
264,what happened to man in the image of the bbc?,3,0,BBC Chief Fired Amid Programming Scandal,0
265,where did president oberlin speak to man in the left of the image in joplin?,1,0,"Jefferson City, Missouri",0
266,where did president oberlin speak to person in the left of the image in joplin?,3,3,"Joplin, Missouri",1
267,where did president obama speak to person in the left of the image in joplin?,2,2,"Joplin, Missouri",1
268,where did president oberlin speak to person in the left of the image of high school graduates?,0,2,"Joplain, Missouri",0
269,what kind of weapons did man in the image have in his house?,0,3,a knife,0
270,what kind of weapons did the shooter have as person in the image?,1,1,a revolver,1
271,who did person in the left of the image of the united states meet with in thailand?,1,1,Yingluck Shinawatra,1
272,who did person in the left of the image meet in thailand last year?,3,2,Yingluck Shinawat,0
273,who did woman with the black coat in the image meet in thailand last year?,0,0,Yingluck Shinawatra,1
274,person in the left of the image who is committed to democracy and rule of law?,2,2,Yingluck Shinawatra,1
275,why is mitt russell running for person in the image in ohio?,0,3,his policies have had no effect on job growth. ,0
276,who has been most opposed to man in the image. ober administration's jobs plan?,0,2,The American people,0
277,who is running against man in the image in 2012?,3,1,Democratic candidate Barack Obama.,0
278,who is running for president against person in the image?,2,2,Republican candidate Mitt Romney.,1
279,where does man in the image lead in the presidential race?,2,0,foot-race of the marathon states,0
280,man in the left of the image accused of corruption in sports project?,2,2,Andi Mallarangeng,1
281,what is the expected growth in asia next year according to woman in the image?,0,0,5.9 percent next year,1
282,name the name of person in the left of the image of pakistan?,0,1,Sita,0
283,who is invited to visit pakistan by person in the left of the image?,1,0,Sonia Gandhi,0
284,who is the foreign minister of india when person in the left of the image met pakistan?,2,3,Sita,0
285,who is invited to visit pakistan by person in the left of the image of india?,0,2,Benazir Bhutto,0
286,who is going to visit pakistan this year according to person in the left of the image?,2,3,Asif Ali Zardari,0
287,who was the foreign minister of india when pakistan signed woman in the left of the image?,0,0,S.M. Krishna,1
288,who was person in the left of the image of india when pakistan and india signed visa agreement?,0,0,S.M. Krishna,1
289,what is the charge against woman in the left of the image?,2,3,Assault,0
290,when do they vote to impeach person in the image in rome?,3,2,Saturday,0
291,what is woman in the image for the middle east?,1,2,get to work and do not stop campaigning,0
292,when did woman in the image speak to the middle class?,1,2,Friday,0
293,who is meeting with person in the image on the debt ceiling?,3,2,"Henry Kissinger, ",0
294,who did person in the image at the white house on Wednesday?,1,0,the president,0
295,when did person in the image address the middle class in washington dc?,3,0,Saturday,0
296,where did woman in the right of the image to iraq go after he left syria?,3,3,Kurdish autonomous region,1
297,what is the difference between person in the right of the image and reid?,0,2,"a willingness, an interest, or frankly, the capability to close the deal",0
298,who is visiting china with secretary of man in the center of the image?,0,0,Secretary of State Clinton,1
299,man with the red dress in the image won the gold medal in the 2012 olympics?,1,1,Stephen Kiprotich,1
300,who was appointed a cardinal by person in the left of the image in the roman catholic church?,3,3,James Michael Harvey,1
301,where are the six new cardinals appointed by woman with the red suit in the image benedict?,3,3,United States,1
302,where are the six new cardinals appointed by person with the red suit in the image benedict?,2,0,Brazil,0
303,who is the current patriarch of person in the left of the image?,3,3,Bechara Boutros Rai,1
304,who is going to meet with woman in the left of the image on thursday?,0,0,Mitt Romney,1
305,what was the plunder of man in the left of the image in the philippines?,0,2,almost $15 trillion in lottery funds,0
306,what is wrong with man in the left of the image in the philippines?,2,2,a long-term spinal illness,1
307,what is the meaning of free gloria in man in the left of the image?,2,1,"Outside the hospital, supporters rallied against the former president, some chanting ""Free Gloria""",0
308,where did man in the left of the image hold a press conference?,2,2,Outside the hospital,1
309,where did woman in the center of the image visit the bodies of the american ambassador killed in libya?,3,2,"Joint Base Anacostia-Bolling in Washington, D.C.",0
310,where did person in the center of the image of state clinton visit the bodies of the american ambassador in libya?,1,1,Joint Base Andrews in Maryland,1
311,where did secretary of person in the center of the image visit the bodies of the american ambassador killed in libya?,0,1,"Joint Base Anacostia-Bolling in Washington, D.C.",0
312,where did secretary of person in the center of the image visit the bodies of the four american diplomats killed in libya?,2,3,Joint Base Andrews in Washington,0
313,where did person in the center of the image receive the bodies of the american ambassador killed in libya?,0,1,Joint Base Andrews in Washington,0
314,when does mitt person in the right of the image become president of the united states?,3,2,on his first day as a representative,0
315,who said man in the image was weak on egypt?,3,2,Democrat Barack Obama,0
316,what is the most recent poll showing between person in the image and mitt?,2,1,between four and eight points,0
317,who is running against man in the image for president in 2012?,2,1,Newt Gingrich,0
318,where was the rally in support of person in the bottom of the image held?,2,2,Cairo's Tahrir Square.,1
319,where did thousands of man in the bottom of the image rally in support of him?,3,3,Cairo's Tahrir Square.,1
320,when does man in the center of the image go to russia?,0,1,next Wednesday,0
321,when does germany send a message to russia about its treatment of man with the black suit in the image?,3,1,next Tuesday,0
322,when does person in the center of the image go to russia next year?,3,2,next Monday,0
323,when does germany go to russia to meet with man with the black suit in the image?,0,2,next Thursday,0
324,when does german chancellor meet with person with the black suit in the image of russia?,1,0,next Saturday,0
325,when does germany go to russia to meet with person with the black suit in the image?,0,2,this Friday,0
326,when does germany go to russia to meet with man in the center of the image?,3,0,this Friday,0
327,where did person with the black suit in the image come from in germany?,1,3,former West Germany,0
328,who has condemned person in the left of the image of a girl in india?,0,2,"Narendra Modi, the Prime Minister of India",0
329,who beat up person in the left of the image on a bus in delhi?,0,3,six women on board,0
330,who was the president of afghanistan when person in the top of the image won the election?,0,0,Hamid Karzai,1
331,who was the president of afghanistan when man in the top of the image won the election?,1,1,Hamid Karzai,1
332,why is person in the left of the image in hospital?,3,2,a stomach virus,0
333,what weapons did iraq buy from russia as person in the right of the image?,1,3,SA-1 anti-aircraft weapons system,0
334,who is visiting australia with man in the image?,2,2,Burma's President Thein Sein,1
335,who says syama suu kiri is person in the image to the us?,1,0,Shawn Turner,0
336,person in the image tells un that japan stole the islands?,1,0,Andy Lau,0
337,when did person in the image quit as us ambassador to kenya?,3,1,29-Jul,0
338,who is the leader of the house of representatives person in the image?,3,3,"House Minority Leader Nancy Pelosi (D-CA) on Capitol Hill, Dec. 7, 2012",1
339,who did man in the image talk to on the fiscal cliff?,0,2,Speaker of the House John Boehner,0
