qid,gt_ans,pred_ans_blip,correctness_blip
180,Iraq,United Kingdom,0
181,Pakistan,United Kingdom,0
182,United Kingdom and United States,United Kingdom and United States,1
183,Indonesia,United Kingdom,0
184,5 children/woman,5 children/woman,1
185,3,3,1
186,0.8 children/woman,1.5 children/woman,0
187,India,Mexico,0
188,Mexico,India,0
189,3,3,1
190,South Africa,United Kingdom,0
191,United Kingdom,United States,0
192,4,5,0
193,Australia,Australia,1
194,4,3,0
195,Mexico and Maldives,Australia and Canada,0
196,Australia,Australia,1
197,3,3,1
198,1,3,0
199,Vietnam,India,0
200,5.5,6.5,0
201,4,2,0
202,Yes,Yes,1
203,Cameroon,Libya,0
204,Cameroon,Libya,0
205,United States,China,0
206,4,3,0
207,3,1,0
208,China,China,1
209,True,Unknown,0
210,3,3,1
211,4,3,0
212,United States,Italy,0
213,Italy,Italy,1
214,Germany,France,0
215,0,5,0
216,6.5,5,0
217,China,China,1
218,4,2,0
219,Sweden,Kenya,0
220,2,5,0
221,Kenya,Sweden,0
222,Russia,Germany,0
223,Germany,Germany,1
224,3,2,0
225,3,2,0
226,China,India,0
227,3,2,0
228,India,United States,0
229,Poland,United States,0
230,Indonesia,Russia,0
231,Russia,Australia,0
232,Australia,Australia,1
233,One,Three,0
234,Germany,Canada,0
235,India,Canada,0
236,Germany,Canada,0
237,Trivia,Exercise,0
238,Distractions,Exercise,0
239,Exercise,Exercise,1
240,Crying baby,Exercise,0
241,6,4,0
242,"5 string - 5 fret, 5 string - 3 fret, 6 string - 3 fret","5 string - 5 fret, 5 string - 3 fret, 6 string - 3 fret",1
243,He,H,0
244,K,K,1
245,Tc,Fe,0
246,2009,2009,1
247,2000 and 2009,2000 and 2009,1
248,iPod mini,iPod mini,1
249,3 GB,4 GB,0
250,iPod shuffle,iPod mini,0
