index,fileid,qid,question,origanswer,generatedanswer,correctness
76,2,105358,Choose the correct order of the events?,0,1,0
77,2,1053600,Choose the correct order of the events?,1,0,0
78,2,1053606,Choose the correct order of the events?,2,0,0
79,2,10536628,Choose the correct order of the events?,2,2,1
80,2,10536715,Choose the correct order of the events?,3,1,0
81,2,10536744,Choose the correct order of the events?,3,1,0
82,2,10537356,Choose the correct order of the events?,1,0,0
83,2,10537442,Choose the correct order of the events?,0,0,1
84,2,10537461,Choose the correct order of the events?,0,1,0
85,2,10537690,Choose the correct order of the events?,3,0,0
86,2,1053771,Choose the correct order of the events?,0,0,1
87,2,10537811,Choose the correct order of the events?,3,3,1
88,2,10537899,Choose the correct order of the events?,3,3,1
89,2,10537917,Choose the correct order of the events?,3,1,0
90,2,10537945,Choose the correct order of the events?,3,0,0
91,2,105389,Choose the correct order of the events?,1,1,1
92,2,1053937,Choose the correct order of the events?,0,2,0
93,2,10539837,Choose the correct order of the events?,2,2,1
94,2,1053990,Choose the correct order of the events?,0,0,1
95,2,10540176,Choose the correct order of the events?,0,3,0
96,2,10540376,Choose the correct order of the events?,0,0,1
97,2,1054039,Choose the correct order of the events?,1,2,0
98,2,1054041,Choose the correct order of the events?,2,1,0
99,2,1054059,Choose the correct order of the events?,2,0,0
100,2,1054064,Choose the correct order of the events?,2,1,0
101,2,1054066,Choose the correct order of the events?,3,0,0
102,2,1054067,Choose the correct order of the events?,3,2,0
103,2,1054068,Choose the correct order of the events?,3,3,1
104,2,1054070,Choose the correct order of the events?,0,3,0
105,2,1054071,Choose the correct order of the events?,0,0,1
106,2,10541081,Choose the correct order of the events?,1,3,0
107,2,10541426,Choose the correct order of the events?,0,0,1
108,2,10541750,Choose the correct order of the events?,3,3,1
109,2,10543736,Choose the correct order of the events?,2,1,0
110,2,10543749,Choose the correct order of the events?,3,0,0
111,2,10543776,Choose the correct order of the events?,0,0,1
112,2,10543790,Choose the correct order of the events?,1,3,0
113,2,10543849,Choose the correct order of the events?,2,3,0
114,2,10543941,Choose the correct order of the events?,3,1,0
115,2,10543971,Choose the correct order of the events?,2,1,0
116,2,10544074,Choose the correct order of the events?,0,1,0
117,2,10544099,Choose the correct order of the events?,3,1,0
118,2,10544240,Choose the correct order of the events?,1,1,1
119,2,10544601,Choose the correct order of the events?,0,2,0
120,2,105448,Choose the correct order of the events?,1,2,0
121,2,10544,Choose the correct order of the events?,1,0,0
122,2,10545014,Choose the correct order of the events?,3,2,0
123,2,10545157,Choose the correct order of the events?,0,1,0
124,2,10545205,Choose the correct order of the events?,0,1,0
125,2,10545458,Choose the correct order of the events?,0,1,0
126,2,10545940,Choose the correct order of the events?,3,2,0
127,2,1054667,Choose the correct order of the events?,1,2,0
128,2,1054677,Choose the correct order of the events?,2,1,0
129,2,10546,Choose the correct order of the events?,0,0,1
130,2,10547,Choose the correct order of the events?,2,0,0
131,2,10548290,Choose the correct order of the events?,0,0,1
132,2,10548347,Choose the correct order of the events?,1,1,1
133,2,10548583,Choose the correct order of the events?,1,0,0
134,2,105486,Choose the correct order of the events?,1,0,0
135,2,10548717,Choose the correct order of the events?,1,3,0
136,2,1054875,Choose the correct order of the events?,1,0,0
137,2,10549569,Choose the correct order of the events?,0,3,0
138,2,10549715,Choose the correct order of the events?,0,1,0
139,2,10550233,Choose the correct order of the events?,0,2,0
140,2,10550257,Choose the correct order of the events?,2,2,1
141,2,10550266,Choose the correct order of the events?,2,2,1
142,2,10550384,Choose the correct order of the events?,1,0,0
143,2,10550389,Choose the correct order of the events?,1,3,0
144,2,10550509,Choose the correct order of the events?,1,1,1
145,2,10550692,Choose the correct order of the events?,0,2,0
146,2,10550777,Choose the correct order of the events?,0,1,0
147,2,10550783,Choose the correct order of the events?,0,1,0
148,2,10550924,Choose the correct order of the events?,3,0,0
149,2,10550994,Choose the correct order of the events?,2,1,0
150,2,105513,Choose the correct order of the events?,1,0,0
151,2,1055151,Choose the correct order of the events?,2,2,1
152,2,105524,Choose the correct order of the events?,1,1,1
153,2,10552768,Choose the correct order of the events?,2,2,1
154,2,1055291,Choose the correct order of the events?,0,0,1
155,2,1055387,Choose the correct order of the events?,1,0,0
156,2,10554065,Choose the correct order of the events?,0,1,0
157,2,10554121,Choose the correct order of the events?,2,2,1
158,2,10554310,Choose the correct order of the events?,2,1,0
159,2,10554452,Choose the correct order of the events?,1,3,0
160,2,1055453,Choose the correct order of the events?,3,0,0
161,2,10554617,Choose the correct order of the events?,3,3,1
162,2,1055489,Choose the correct order of the events?,1,0,0
163,2,10555034,Choose the correct order of the events?,0,3,0
164,2,10555625,Choose the correct order of the events?,0,1,0
165,2,10555697,Choose the correct order of the events?,0,3,0
166,2,10555718,Choose the correct order of the events?,2,3,0
167,2,1055576,Choose the correct order of the events?,3,2,0
168,2,10555894,Choose the correct order of the events?,1,3,0
169,2,10556017,Choose the correct order of the events?,3,1,0
170,2,10556018,Choose the correct order of the events?,3,0,0
171,2,10556059,Choose the correct order of the events?,3,3,1
172,2,10556338,Choose the correct order of the events?,3,2,0
173,2,10556357,Choose the correct order of the events?,1,1,1
174,2,1055670,Choose the correct order of the events?,2,1,0
175,2,10556825,Choose the correct order of the events?,1,2,0
176,2,10556894,Choose the correct order of the events?,2,2,1
177,2,1055750,Choose the correct order of the events?,0,1,0
178,2,10558858,Choose the correct order of the events?,2,1,0
179,2,1055915,Choose the correct order of the events?,1,2,0
180,2,10559696,Choose the correct order of the events?,3,2,0
181,2,10560179,Choose the correct order of the events?,0,3,0
182,2,10560321,Choose the correct order of the events?,2,3,0
183,2,10561032,Choose the correct order of the events?,1,0,0
184,2,1056204,Choose the correct order of the events?,2,1,0
185,2,1056265,Choose the correct order of the events?,0,2,0
186,2,10563070,Choose the correct order of the events?,1,1,1
187,2,10563260,Choose the correct order of the events?,1,3,0
188,2,10563680,Choose the correct order of the events?,0,2,0
189,2,10564169,Choose the correct order of the events?,3,2,0
190,2,10564429,Choose the correct order of the events?,3,1,0
191,2,10564583,Choose the correct order of the events?,2,2,1
192,2,10564608,Choose the correct order of the events?,3,0,0
193,2,105650,Choose the correct order of the events?,0,0,1
194,2,1056535,Choose the correct order of the events?,3,1,0
195,2,105658,Choose the correct order of the events?,1,3,0
196,2,10566415,Choose the correct order of the events?,2,1,0
197,2,1056642,Choose the correct order of the events?,2,1,0
198,2,10566455,Choose the correct order of the events?,3,0,0
199,2,10566823,Choose the correct order of the events?,0,2,0
200,2,10566990,Choose the correct order of the events?,2,1,0
201,2,10567048,Choose the correct order of the events?,1,1,1
202,2,10567908,Choose the correct order of the events?,2,0,0
203,2,1056792,Choose the correct order of the events?,3,3,1
204,2,10568049,Choose the correct order of the events?,1,0,0
205,2,10568182,Choose the correct order of the events?,0,1,0
206,2,10568519,Choose the correct order of the events?,2,3,0
207,2,10568668,Choose the correct order of the events?,1,2,0
208,2,10568726,Choose the correct order of the events?,1,2,0
209,2,10568799,Choose the correct order of the events?,2,0,0
210,2,10568899,Choose the correct order of the events?,2,3,0
211,2,10568988,Choose the correct order of the events?,3,0,0
212,2,10568999,Choose the correct order of the events?,1,2,0
213,2,10569231,Choose the correct order of the events?,1,1,1
214,2,10571289,Choose the correct order of the events?,2,0,0
215,2,10571337,Choose the correct order of the events?,1,2,0
216,2,1057145,Choose the correct order of the events?,3,0,0
217,2,10571611,Choose the correct order of the events?,0,0,1
218,2,1057173,Choose the correct order of the events?,3,1,0
219,2,10572072,Choose the correct order of the events?,0,3,0
220,2,1057265,Choose the correct order of the events?,0,2,0
221,2,10572731,Choose the correct order of the events?,2,1,0
222,2,10572734,Choose the correct order of the events?,3,3,1
223,2,10572980,Choose the correct order of the events?,3,3,1
224,2,1057514,Choose the correct order of the events?,0,0,1
225,2,10575754,Choose the correct order of the events?,2,2,1
226,2,1057624,Choose the correct order of the events?,1,0,0
227,2,10576315,Choose the correct order of the events?,3,3,1
228,2,10576383,Choose the correct order of the events?,1,3,0
229,2,1057688,Choose the correct order of the events?,0,3,0
230,2,10576,Choose the correct order of the events?,0,1,0
231,2,1057715,Choose the correct order of the events?,0,3,0
232,2,1057716,Choose the correct order of the events?,3,1,0
233,2,1057718,Choose the correct order of the events?,3,3,1
234,2,1057719,Choose the correct order of the events?,3,1,0
235,2,10577492,Choose the correct order of the events?,0,3,0
236,2,1057820,Choose the correct order of the events?,1,2,0
237,2,1057837,Choose the correct order of the events?,1,2,0
238,2,10578380,Choose the correct order of the events?,1,0,0
239,2,10578409,Choose the correct order of the events?,0,1,0
240,2,10578422,Choose the correct order of the events?,3,1,0
241,2,10578434,Choose the correct order of the events?,3,2,0
242,2,1057891,Choose the correct order of the events?,3,1,0
243,2,10578965,Choose the correct order of the events?,1,2,0
244,2,10579496,Choose the correct order of the events?,2,0,0
245,2,10579813,Choose the correct order of the events?,2,0,0
246,2,1058060,Choose the correct order of the events?,3,1,0
247,2,1058120,Choose the correct order of the events?,3,3,1
248,2,10582414,Choose the correct order of the events?,1,3,0
249,2,10582820,Choose the correct order of the events?,1,2,0
250,2,10582,Choose the correct order of the events?,2,2,1
251,2,10583813,Choose the correct order of the events?,1,2,0
252,2,10583814,Choose the correct order of the events?,2,3,0
253,2,10583824,Choose the correct order of the events?,3,0,0
254,2,1058391,Choose the correct order of the events?,3,0,0
255,2,10583931,Choose the correct order of the events?,1,2,0
256,2,10584525,Choose the correct order of the events?,0,2,0
257,2,1058541,Choose the correct order of the events?,2,1,0
258,2,105856,Choose the correct order of the events?,0,1,0
259,2,10586062,Choose the correct order of the events?,2,3,0
260,2,1058754,Choose the correct order of the events?,3,1,0
261,2,1058791,Choose the correct order of the events?,2,1,0
262,2,10588051,Choose the correct order of the events?,3,0,0
263,2,10588174,Choose the correct order of the events?,2,3,0
264,2,1058878,Choose the correct order of the events?,3,1,0
265,2,1058880,Choose the correct order of the events?,3,2,0
266,2,10588947,Choose the correct order of the events?,3,0,0
267,2,10589374,Choose the correct order of the events?,3,0,0
268,2,10589448,Choose the correct order of the events?,1,0,0
269,2,10589481,Choose the correct order of the events?,2,2,1
270,2,10589750,Choose the correct order of the events?,2,1,0
271,2,1058979,Choose the correct order of the events?,2,2,1
272,2,1058982,Choose the correct order of the events?,2,1,0
273,2,10590008,Choose the correct order of the events?,2,0,0
274,2,10592111,Choose the correct order of the events?,0,0,1
275,2,105921,Choose the correct order of the events?,2,2,1
276,2,10592221,Choose the correct order of the events?,1,0,0
277,2,105923,Choose the correct order of the events?,0,0,1
278,2,105927,Choose the correct order of the events?,3,2,0
279,2,10592925,Choose the correct order of the events?,2,3,0
280,2,10592,Choose the correct order of the events?,2,1,0
281,2,10593224,Choose the correct order of the events?,0,2,0
282,2,10593557,Choose the correct order of the events?,0,0,1
283,2,105936,Choose the correct order of the events?,1,1,1
284,2,1059379,Choose the correct order of the events?,1,0,0
285,2,105937,Choose the correct order of the events?,1,2,0
286,2,1059391,Choose the correct order of the events?,3,3,1
287,2,1059392,Choose the correct order of the events?,1,1,1
288,2,1059402,Choose the correct order of the events?,3,2,0
289,2,1059502,Choose the correct order of the events?,3,2,0
290,2,10595278,Choose the correct order of the events?,2,3,0
291,2,1059570,Choose the correct order of the events?,1,3,0
292,2,1059571,Choose the correct order of the events?,1,2,0
293,2,1059572,Choose the correct order of the events?,1,2,0
294,2,1059575,Choose the correct order of the events?,0,2,0
295,2,1059577,Choose the correct order of the events?,0,1,0
296,2,1059578,Choose the correct order of the events?,0,1,0
297,2,10596053,Choose the correct order of the events?,0,2,0
298,2,10596070,Choose the correct order of the events?,3,0,0
299,2,10596672,Choose the correct order of the events?,2,1,0
300,2,10596882,Choose the correct order of the events?,2,1,0
301,2,1059713,Choose the correct order of the events?,2,2,1
302,2,1059747,Choose the correct order of the events?,3,0,0
303,2,1059766,Choose the correct order of the events?,1,0,0
304,2,105976,Choose the correct order of the events?,1,3,0
305,2,1059779,Choose the correct order of the events?,1,1,1
306,2,10597810,Choose the correct order of the events?,0,0,1
307,2,105978,Choose the correct order of the events?,0,1,0
308,2,10598114,Choose the correct order of the events?,1,2,0
309,2,105981,Choose the correct order of the events?,1,2,0
310,2,10598207,Choose the correct order of the events?,1,2,0
311,2,10598294,Choose the correct order of the events?,0,2,0
312,2,10598522,Choose the correct order of the events?,2,3,0
313,2,10598536,Choose the correct order of the events?,3,2,0
314,2,10598578,Choose the correct order of the events?,3,3,1
315,2,10598583,Choose the correct order of the events?,2,1,0
316,2,10598610,Choose the correct order of the events?,3,1,0
317,2,1059905,Choose the correct order of the events?,3,0,0
318,2,1059931,Choose the correct order of the events?,2,3,0
319,2,10599336,Choose the correct order of the events?,3,0,0
320,2,10600348,Choose the correct order of the events?,3,0,0
321,2,10600433,Choose the correct order of the events?,2,2,1
322,2,10600469,Choose the correct order of the events?,2,2,1
323,2,10600486,Choose the correct order of the events?,2,2,1
324,2,10600515,Choose the correct order of the events?,0,1,0
325,2,10600601,Choose the correct order of the events?,2,3,0
326,2,10600770,Choose the correct order of the events?,1,0,0
327,2,10600794,Choose the correct order of the events?,2,3,0
328,2,10602376,Choose the correct order of the events?,1,0,0
329,2,10602388,Choose the correct order of the events?,3,3,1
330,2,10602420,Choose the correct order of the events?,0,0,1
331,2,10602422,Choose the correct order of the events?,2,1,0
332,2,10602429,Choose the correct order of the events?,0,0,1
333,2,10602495,Choose the correct order of the events?,0,3,0
334,2,10602512,Choose the correct order of the events?,0,1,0
335,2,10602536,Choose the correct order of the events?,2,0,0
336,2,10602788,Choose the correct order of the events?,0,3,0
337,2,1060285,Choose the correct order of the events?,0,1,0
338,2,10603143,Choose the correct order of the events?,3,0,0
339,2,10603394,Choose the correct order of the events?,1,1,1
340,2,10603425,Choose the correct order of the events?,2,2,1
341,2,1060364,Choose the correct order of the events?,0,0,1
342,2,1060440,Choose the correct order of the events?,0,2,0
343,2,10604850,Choose the correct order of the events?,2,3,0
344,2,10604943,Choose the correct order of the events?,1,2,0
345,2,10605011,Choose the correct order of the events?,2,1,0
346,2,1060523,Choose the correct order of the events?,0,1,0
347,2,1060529,Choose the correct order of the events?,2,1,0
348,2,10605,Choose the correct order of the events?,3,3,1
349,2,10606019,Choose the correct order of the events?,0,2,0
350,2,1060601,Choose the correct order of the events?,2,2,1
351,2,10606185,Choose the correct order of the events?,3,1,0
352,2,10606580,Choose the correct order of the events?,3,1,0
353,2,10606584,Choose the correct order of the events?,2,2,1
354,2,10606585,Choose the correct order of the events?,2,1,0
355,2,10606586,Choose the correct order of the events?,2,1,0
356,2,10606588,Choose the correct order of the events?,2,0,0
357,2,10606598,Choose the correct order of the events?,3,3,1
358,2,10606717,Choose the correct order of the events?,3,3,1
359,2,10606863,Choose the correct order of the events?,0,3,0
360,2,10606877,Choose the correct order of the events?,2,3,0
361,2,10606929,Choose the correct order of the events?,0,3,0
362,2,10606950,Choose the correct order of the events?,3,0,0
363,2,1060787,Choose the correct order of the events?,2,3,0
364,2,1060817,Choose the correct order of the events?,2,0,0
365,2,1060818,Choose the correct order of the events?,2,3,0
366,2,1060821,Choose the correct order of the events?,1,0,0
367,2,1060822,Choose the correct order of the events?,2,1,0
368,2,1060823,Choose the correct order of the events?,2,0,0
369,2,1060917,Choose the correct order of the events?,0,2,0
370,2,10609883,Choose the correct order of the events?,0,3,0
371,2,10610106,Choose the correct order of the events?,1,2,0
372,2,10610461,Choose the correct order of the events?,0,2,0
373,2,106104,Choose the correct order of the events?,3,3,1
374,2,10611922,Choose the correct order of the events?,2,1,0
375,2,10611958,Choose the correct order of the events?,2,1,0
376,2,10612051,Choose the correct order of the events?,1,0,0
377,2,10612149,Choose the correct order of the events?,1,1,1
378,2,10612507,Choose the correct order of the events?,1,0,0
379,2,10612,Choose the correct order of the events?,2,2,1
380,2,1061336,Choose the correct order of the events?,3,2,0
381,2,1061370,Choose the correct order of the events?,0,0,1
382,2,10613816,Choose the correct order of the events?,0,1,0
383,2,10615208,Choose the correct order of the events?,3,0,0
384,2,10615705,Choose the correct order of the events?,3,3,1
385,2,106157,Choose the correct order of the events?,0,3,0
386,2,10615862,Choose the correct order of the events?,2,3,0
387,2,106166,Choose the correct order of the events?,3,1,0
388,2,10618471,Choose the correct order of the events?,0,1,0
389,2,10618818,Choose the correct order of the events?,0,2,0
390,2,10618932,Choose the correct order of the events?,0,1,0
391,2,10619384,Choose the correct order of the events?,3,0,0
392,2,10619390,Choose the correct order of the events?,3,0,0
393,2,1061948,Choose the correct order of the events?,1,2,0
394,2,1061949,Choose the correct order of the events?,0,0,1
395,2,1061950,Choose the correct order of the events?,1,0,0
396,2,1061952,Choose the correct order of the events?,2,3,0
397,2,1061954,Choose the correct order of the events?,2,0,0
398,2,1061956,Choose the correct order of the events?,1,1,1
399,2,1061957,Choose the correct order of the events?,2,1,0
400,2,1061971,Choose the correct order of the events?,3,0,0
401,2,1061989,Choose the correct order of the events?,0,2,0
402,2,10621105,Choose the correct order of the events?,1,3,0
403,2,10621127,Choose the correct order of the events?,1,0,0
404,2,1062188,Choose the correct order of the events?,0,1,0
405,2,10622410,Choose the correct order of the events?,1,1,1
406,2,10622423,Choose the correct order of the events?,1,3,0
407,2,10622469,Choose the correct order of the events?,3,3,1
408,2,1062297,Choose the correct order of the events?,2,0,0
409,2,1062403,Choose the correct order of the events?,3,1,0
410,2,10624350,Choose the correct order of the events?,1,2,0
411,2,106243,Choose the correct order of the events?,3,0,0
412,2,10626610,Choose the correct order of the events?,0,3,0
413,2,10627252,Choose the correct order of the events?,0,1,0
414,2,10628226,Choose the correct order of the events?,2,2,1
415,2,10628280,Choose the correct order of the events?,2,1,0
416,2,10628545,Choose the correct order of the events?,3,3,1
417,2,1062857,Choose the correct order of the events?,1,3,0
418,2,10628658,Choose the correct order of the events?,1,0,0
419,2,10628661,Choose the correct order of the events?,3,3,1
420,2,10628666,Choose the correct order of the events?,0,1,0
421,2,10628672,Choose the correct order of the events?,1,2,0
422,2,10628978,Choose the correct order of the events?,1,3,0
423,2,106300,Choose the correct order of the events?,2,0,0
424,2,10632277,Choose the correct order of the events?,3,0,0
425,2,10633055,Choose the correct order of the events?,0,3,0
426,2,1063335,Choose the correct order of the events?,1,0,0
427,2,10633376,Choose the correct order of the events?,2,3,0
428,2,10634308,Choose the correct order of the events?,3,0,0
429,2,1063798,Choose the correct order of the events?,3,0,0
430,2,10638001,Choose the correct order of the events?,0,0,1
431,2,1063805,Choose the correct order of the events?,1,1,1
432,2,1063989,Choose the correct order of the events?,2,1,0
433,2,1063996,Choose the correct order of the events?,0,1,0
434,2,1064039,Choose the correct order of the events?,2,0,0
435,2,1064044,Choose the correct order of the events?,0,3,0
436,2,106417,Choose the correct order of the events?,0,2,0
437,2,1064221,Choose the correct order of the events?,1,1,1
438,2,1064354,Choose the correct order of the events?,0,0,1
439,2,1064356,Choose the correct order of the events?,2,1,0
440,2,1064411,Choose the correct order of the events?,2,3,0
441,2,1064584,Choose the correct order of the events?,3,0,0
442,2,10645,Choose the correct order of the events?,0,2,0
443,2,10647,Choose the correct order of the events?,0,0,1
444,2,1065066,Choose the correct order of the events?,1,0,0
445,2,1065073,Choose the correct order of the events?,1,3,0
446,2,1065184,Choose the correct order of the events?,3,3,1
447,2,10652355,Choose the correct order of the events?,0,0,1
448,2,1065400,Choose the correct order of the events?,3,3,1
449,2,10654471,Choose the correct order of the events?,2,1,0
450,2,1065473,Choose the correct order of the events?,2,1,0
451,2,1065476,Choose the correct order of the events?,1,0,0
452,2,1065477,Choose the correct order of the events?,0,1,0
453,2,1065478,Choose the correct order of the events?,2,3,0
454,2,1065480,Choose the correct order of the events?,1,2,0
455,2,1065482,Choose the correct order of the events?,0,1,0
456,2,1065483,Choose the correct order of the events?,1,3,0
457,2,106548,Choose the correct order of the events?,1,1,1
458,2,1065721,Choose the correct order of the events?,0,1,0
459,2,1065765,Choose the correct order of the events?,0,1,0
460,2,1065887,Choose the correct order of the events?,3,2,0
461,2,1065922,Choose the correct order of the events?,2,2,1
462,2,1066106,Choose the correct order of the events?,0,1,0
463,2,10661193,Choose the correct order of the events?,0,3,0
464,2,10661271,Choose the correct order of the events?,0,2,0
465,2,1066283,Choose the correct order of the events?,0,0,1
466,2,1066339,Choose the correct order of the events?,0,3,0
467,2,10664260,Choose the correct order of the events?,2,2,1
468,2,1066446,Choose the correct order of the events?,2,1,0
469,2,106661,Choose the correct order of the events?,1,3,0
470,2,1066838,Choose the correct order of the events?,1,0,0
471,2,1066839,Choose the correct order of the events?,2,1,0
472,2,1066853,Choose the correct order of the events?,0,0,1
473,2,1067007,Choose the correct order of the events?,3,0,0
474,2,1067030,Choose the correct order of the events?,1,0,0
475,2,106715,Choose the correct order of the events?,0,3,0
476,2,10671694,Choose the correct order of the events?,3,0,0
477,2,1067178,Choose the correct order of the events?,2,0,0
478,2,1067446,Choose the correct order of the events?,3,0,0
479,2,106756,Choose the correct order of the events?,1,2,0
480,2,1067619,Choose the correct order of the events?,0,3,0
481,2,106762,Choose the correct order of the events?,0,1,0
482,2,1067645,Choose the correct order of the events?,0,2,0
483,2,1067660,Choose the correct order of the events?,2,3,0
484,2,106774,Choose the correct order of the events?,3,1,0
485,2,106776,Choose the correct order of the events?,2,3,0
486,2,10679035,Choose the correct order of the events?,0,1,0
487,2,1068119,Choose the correct order of the events?,0,1,0
488,2,1068171,Choose the correct order of the events?,3,1,0
489,2,1068174,Choose the correct order of the events?,0,3,0
490,2,1068175,Choose the correct order of the events?,2,3,0
491,2,1068176,Choose the correct order of the events?,2,1,0
492,2,1068178,Choose the correct order of the events?,1,3,0
493,2,1068180,Choose the correct order of the events?,1,3,0
494,2,1068181,Choose the correct order of the events?,1,1,1
495,2,1068183,Choose the correct order of the events?,1,1,1
496,2,1068184,Choose the correct order of the events?,1,3,0
497,2,1068185,Choose the correct order of the events?,0,1,0
498,2,10683678,Choose the correct order of the events?,1,1,1
499,2,10683680,Choose the correct order of the events?,2,1,0
500,2,10683683,Choose the correct order of the events?,3,0,0
501,2,10683698,Choose the correct order of the events?,1,1,1
502,2,10683700,Choose the correct order of the events?,0,3,0
503,2,1068460,Choose the correct order of the events?,3,2,0
504,2,1068576,Choose the correct order of the events?,3,1,0
505,2,1068656,Choose the correct order of the events?,2,0,0
506,2,1068686,Choose the correct order of the events?,0,1,0
507,2,1068871,Choose the correct order of the events?,0,2,0
508,2,10689549,Choose the correct order of the events?,0,2,0
509,2,1068997,Choose the correct order of the events?,3,1,0
510,2,10691189,Choose the correct order of the events?,0,1,0
511,2,1069184,Choose the correct order of the events?,1,1,1
512,2,1069185,Choose the correct order of the events?,1,1,1
513,2,10691877,Choose the correct order of the events?,3,0,0
514,2,1069188,Choose the correct order of the events?,1,3,0
515,2,1069189,Choose the correct order of the events?,0,1,0
516,2,1069191,Choose the correct order of the events?,2,0,0
517,2,1069192,Choose the correct order of the events?,0,3,0
518,2,1069193,Choose the correct order of the events?,1,3,0
519,2,1069194,Choose the correct order of the events?,3,0,0
520,2,1069197,Choose the correct order of the events?,0,1,0
521,2,10692,Choose the correct order of the events?,3,2,0
522,2,106945,Choose the correct order of the events?,3,1,0
523,2,1069799,Choose the correct order of the events?,2,0,0
524,2,1069891,Choose the correct order of the events?,0,2,0
525,2,1069895,Choose the correct order of the events?,3,2,0
526,2,10699,Choose the correct order of the events?,1,0,0
527,2,10701051,Choose the correct order of the events?,1,0,0
528,2,107013,Choose the correct order of the events?,1,1,1
529,2,10701,Choose the correct order of the events?,1,1,1
530,2,10704107,Choose the correct order of the events?,3,2,0
531,2,1070843,Choose the correct order of the events?,3,3,1
532,2,1070848,Choose the correct order of the events?,3,0,0
533,2,10708512,Choose the correct order of the events?,0,0,1
534,2,10708,Choose the correct order of the events?,3,1,0
535,2,1070959,Choose the correct order of the events?,1,2,0
536,2,1071091,Choose the correct order of the events?,3,2,0
537,2,1071097,Choose the correct order of the events?,1,0,0
