index,qid,question,origanswer,generatedanswer,generatedanswers
15,1981,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make fried ice cream. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
16,1982,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make droplets. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
17,1983,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make caramelized sweet potato. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The correct order of steps I-IV is b.,['The correct order of steps I-IV is b.']
18,1984,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make thai chillies pickled. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
19,1985,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make onigiri. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
20,1986,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make easy chocolate pudding. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
21,1987,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make baked mashed potato witch fingers. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
22,1988,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chewy chocolate chip cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
23,1989,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make salsa verde green salsa. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,"The correct order of steps is II-I-IV-III, meaning that the ingredients in the mortar should be ground up first, then the tomatillos and jalapeños should be added, then the cilantro, and finally the lime juice.","['The correct order of steps is II-I-IV-III, meaning that the ingredients in the mortar should be ground up first, then the tomatillos and jalapeños should be added, then the cilantro, and finally the lime juice.']"
24,1990,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chilaquiles soup. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,c. II-III-I-IV,['c. II-III-I-IV']
25,1991,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cheese curds. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,b. I-IV-III-II,['b. I-IV-III-II']
26,1992,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make baked potatoes and carots. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is b. I-IV-III-II.,['The correct order of steps is b. I-IV-III-II.']
27,1993,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make charcuterie board. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct order of steps I-IV is c. II-III-I-IV.,['The correct order of steps I-IV is c. II-III-I-IV.']
28,1994,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make hashbrown casserole. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,b. I-IV-III-II,['b. I-IV-III-II']
29,1995,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make a blt. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
30,1996,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make simple spicy rosemary thins. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
31,1997,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cheddar beer soup. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
32,1998,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bacon ham mac cheese dairy free. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
33,1999,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make fried ice cream. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct answer is c. II-III-I-IV.,['The correct answer is c. II-III-I-IV.']
34,2000,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make homemade macncheese. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,The correct order of steps is d. II-I-IV-III.,['The correct order of steps is d. II-I-IV-III.']
35,2001,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make turkey blt. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d,['d']
36,2002,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make sweet onion bread. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct order of steps I-IV is b. I-IV-III-II.,['The correct order of steps I-IV is b. I-IV-III-II.']
37,2003,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bacon egg burger. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
38,2004,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make banana bites. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,c. II-III-I-IV,['c. II-III-I-IV']
39,2005,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make freeze dry at home. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
40,2006,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make the cookie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
41,2007,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make lemon sugar cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
42,2008,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make frozen basil bullets. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The correct order of steps is d. II-I-IV-III.,['The correct order of steps is d. II-I-IV-III.']
43,2009,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make jalapeno infused salt. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
44,2010,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make laser engraved coconuts pina colada. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
45,2011,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make bleeding gum rolls. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
46,2012,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make garden cucumber salad. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,b. I-IV-III-II,['b. I-IV-III-II']
47,2013,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make grilled cheese roll ups. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct answer is d.,['The correct answer is d.']
48,2014,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make peach lemon popsicles. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
49,2015,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make amazing chocolate pie. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,b. I-IV-III-II,['b. I-IV-III-II']
50,2016,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make deep sea diver pg. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,b. I-IV-III-II,['b. I-IV-III-II']
51,2017,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pumpkin beer beverage cooler. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,"The correct order of steps is II-I-IV-III, so the answer is d.","['The correct order of steps is II-I-IV-III, so the answer is d.']"
52,2018,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make green tea syrupvodka. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
53,2019,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make chocolate cookies dessert. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
54,2020,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make indian pudding. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
55,2021,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make onigiri. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct order of steps is b.,['The correct order of steps is b.']
56,2022,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make peanut butter cup frappuccino recipe. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct order of steps is d. II-I-IV-III.,['The correct order of steps is d. II-I-IV-III.']
57,2023,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make fresh mango chocolate chia parfait gluten free. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
58,2024,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make turkish pizza pide lahmcun. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
59,2025,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make the dip. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is b. I-IV-III-II.,['The correct order of steps is b. I-IV-III-II.']
60,2026,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make kefir. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,c. II-III-I-IV,['c. II-III-I-IV']
61,2027,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make tomato sauce. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,b. I-IV-III-II,['b. I-IV-III-II']
62,2028,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make mango pickle the south indian way. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
63,2029,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make quesadilla. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
64,2030,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make dutch baby. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",c,d. II-I-IV-III,['d. II-I-IV-III']
65,2031,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make matcha tea. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct answer is d.,['The correct answer is d.']
66,2032,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make easy apple cake. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
67,2033,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make diy almond butter chips. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,The correct answer is d. II-I-IV-III,['The correct answer is d. II-I-IV-III']
68,2034,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make almonds milk. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,d. II-I-IV-III,['d. II-I-IV-III']
69,2035,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make mousse. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,The correct order of steps is I-II-IV-III.,['The correct order of steps is I-II-IV-III.']
70,2036,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make sarahs snack mix pizza. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
71,2037,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cake bites. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
72,2038,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make shrimp dip. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
73,2039,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make pickled thai chili hot sauce. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
74,2040,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make peanut butter cookies. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,c. II-III-I-IV,['c. II-III-I-IV']
75,2041,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make thai green chicken curry. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,The correct order of steps is b. I-IV-III-II.,['The correct order of steps is b. I-IV-III-II.']
76,2042,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make kabobs with homemade dressing. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",d,c. II-III-I-IV,['c. II-III-I-IV']
77,2043,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make making hard boiled eggs with fresh eggs. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",b,d. II-I-IV-III,['d. II-I-IV-III']
78,2044,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make very easy chocolate fondant. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
79,2045,"Question: 
Answer Choices are: 
a. I-II-IV-III
b. I-IV-III-II
c. II-III-I-IV
d. II-I-IV-III
Choose the correct order of steps I-IV  in order to make cottage pudding cake. Left image is denoted by [0] and right image is denoted by [1].
Specify the correct answer by choosing one of a, b, c, or d: 
",a,d. II-I-IV-III,['d. II-I-IV-III']
