qid,question,origanswer,generatedanswer,correctness
100,How many large objects are there ?,4,23,0
101,How many large objects are there ?,4,20,0
102,How many gray rubber objects are there ?,3,23,0
103,How many cyan spheres are there ?,3,24,0
104,How many metal objects are there ?,9,20,0
105,How many small cylinders are there ?,3,23,0
106,How many large gray cylinders are there ?,5,22,0
107,How many large blue objects are there ?,5,15,0
108,How many spheres are there ?,5,18,0
109,How many large objects are there ?,6,22,0
110,How many rubber spheres are there ?,5,22,0
111,How many large rubber objects are there ?,6,22,0
112,How many green objects are there ?,3,28,0
113,How many metal objects are there ?,4,20,0
114,How many small objects are there ?,8,18,0
115,How many gray metal objects are there ?,3,14,0
116,How many metal objects are there ?,7,23,0
117,How many yellow objects are there ?,4,23,0
118,How many gray objects are there ?,3,15,0
119,How many brown cylinders are there ?,3,18,0
120,How many brown objects are there ?,3,18,0
121,How many cylinders are there ?,6,18,0
122,How many red objects are there ?,3,15,0
123,How many red objects are there ?,3,20,0
124,How many spheres are there ?,5,24,0
125,How many spheres are there ?,6,22,0
126,How many rubber objects are there ?,6,22,0
127,How many cyan objects are there ?,4,22,0
128,How many large objects are there ?,4,22,0
129,How many small metal spheres are there ?,4,22,0
130,How many yellow objects are there ?,4,22,0
131,How many small objects are there ?,7,18,0
132,How many small objects are there ?,5,22,0
133,How many rubber cylinders are there ?,3,23,0
134,How many gray spheres are there ?,3,17,0
135,How many cylinders are there ?,4,22,0
136,How many large red objects are there ?,3,16,0
137,How many cubes are there ?,6,25,0
138,How many spheres are there ?,6,22,0
139,How many large metal cubes are there ?,3,18,0
140,How many metal objects are there ?,6,22,0
141,How many small objects are there ?,6,18,0
142,How many red objects are there ?,3,23,0
143,How many small yellow objects are there ?,4,18,0
144,How many small spheres are there ?,5,22,0
145,How many metal objects are there ?,5,15,0
146,How many purple rubber objects are there ?,3,28,0
147,How many large blue objects are there ?,3,18,0
148,How many cubes are there ?,3,23,0
149,How many large objects are there ?,9,22,0
150,How many large blue objects are there ?,3,22,0
151,How many metal objects are there ?,5,22,0
152,How many small objects are there ?,10,28,0
153,How many small metal objects are there ?,3,24,0
154,How many small objects are there ?,4,18,0
155,How many blue objects are there ?,7,18,0
156,How many rubber cubes are there ?,5,28,0
157,How many rubber objects are there ?,11,22,0
158,How many cyan objects are there ?,5,24,0
159,How many large objects are there ?,5,24,0
160,How many metal cubes are there ?,5,24,0
161,How many large brown metal objects are there ?,3,15,0
162,How many brown objects are there ?,4,22,0
163,How many large cubes are there ?,3,23,0
164,How many large blue metal spheres are there ?,3,24,0
165,How many cubes are there ?,7,28,0
166,How many rubber spheres are there ?,3,24,0
167,How many green objects are there ?,4,24,0
168,How many purple spheres are there ?,3,24,0
169,How many large objects are there ?,9,22,0
170,How many gray objects are there ?,3,22,0
171,How many rubber cylinders are there ?,5,22,0
172,How many rubber objects are there ?,6,23,0
173,How many green objects are there ?,4,28,0
174,How many rubber objects are there ?,7,22,0
175,How many green spheres are there ?,3,22,0
176,How many red rubber objects are there ?,3,28,0
177,How many rubber spheres are there ?,3,22,0
178,How many rubber objects are there ?,7,22,0
179,How many small green objects are there ?,4,28,0
180,How many gray objects are there ?,4,15,0
181,How many rubber objects are there ?,8,28,0
182,How many purple objects are there ?,4,22,0
183,How many large metal spheres are there ?,4,22,0
184,How many rubber objects are there ?,5,22,0
185,How many small objects are there ?,6,22,0
186,How many brown objects are there ?,3,20,0
187,How many cylinders are there ?,4,15,0
188,How many spheres are there ?,7,24,0
189,How many rubber objects are there ?,7,24,0
190,How many cubes are there ?,4,23,0
191,How many large cubes are there ?,3,18,0
192,How many large objects are there ?,7,18,0
193,How many metal objects are there ?,6,22,0
194,How many small cyan objects are there ?,3,17,0
195,How many spheres are there ?,7,22,0
196,How many small objects are there ?,9,22,0
197,How many small objects are there ?,6,24,0
198,How many red cylinders are there ?,3,20,0
199,How many metal objects are there ?,7,22,0
200,How many small objects are there ?,5,22,0
201,How many large objects are there ?,6,22,0
202,How many large yellow objects are there ?,3,18,0
203,How many yellow metal objects are there ?,4,15,0
204,How many small objects are there ?,7,24,0
205,How many large purple rubber objects are there ?,3,22,0
206,How many large cubes are there ?,4,20,0
207,How many metal objects are there ?,4,22,0
208,How many brown cylinders are there ?,3,18,0
209,How many small metal objects are there ?,5,15,0
210,How many brown cubes are there ?,3,20,0
211,How many small objects are there ?,7,23,0
212,How many small objects are there ?,6,22,0
213,How many large objects are there ?,5,18,0
214,How many spheres are there ?,4,24,0
215,How many small objects are there ?,7,22,0
216,How many rubber objects are there ?,6,24,0
217,How many gray objects are there ?,3,23,0
218,How many small objects are there ?,6,22,0
219,How many small objects are there ?,4,23,0
220,How many large objects are there ?,5,22,0
221,How many small objects are there ?,8,15,0
222,How many small green objects are there ?,3,28,0
223,How many small rubber objects are there ?,5,23,0
224,How many small spheres are there ?,4,22,0
225,How many spheres are there ?,5,22,0
226,How many small rubber objects are there ?,3,24,0
227,How many rubber spheres are there ?,4,22,0
228,How many rubber objects are there ?,7,22,0
229,How many cylinders are there ?,3,22,0
230,How many metal objects are there ?,9,20,0
231,How many blue spheres are there ?,3,24,0
232,How many rubber objects are there ?,5,18,0
233,How many cyan objects are there ?,3,15,0
234,How many large cylinders are there ?,4,22,0
235,How many small objects are there ?,4,15,0
236,How many metal objects are there ?,8,22,0
237,How many gray objects are there ?,5,23,0
238,How many small cubes are there ?,4,24,0
239,How many metal cubes are there ?,3,24,0
240,How many spheres are there ?,5,22,0
241,How many green objects are there ?,5,22,0
242,How many metal objects are there ?,5,23,0
243,How many cubes are there ?,6,28,0
244,How many purple objects are there ?,4,22,0
245,How many large cylinders are there ?,3,22,0
246,How many large objects are there ?,5,22,0
247,How many gray objects are there ?,3,22,0
248,How many blue rubber objects are there ?,3,22,0
249,How many small objects are there ?,4,20,0
250,How many large objects are there ?,5,18,0
251,How many large brown cylinders are there ?,3,20,0
252,How many metal objects are there ?,11,22,0
253,How many metal objects are there ?,7,22,0
254,How many yellow objects are there ?,5,22,0
255,How many small objects are there ?,6,22,0
256,How many purple spheres are there ?,3,28,0
257,How many cubes are there ?,3,24,0
258,How many metal objects are there ?,6,17,0
259,How many metal objects are there ?,4,23,0
260,How many small objects are there ?,10,23,0
261,How many purple spheres are there ?,3,24,0
262,How many large spheres are there ?,6,24,0
263,How many red objects are there ?,3,22,0
264,How many metal objects are there ?,4,22,0
265,How many rubber objects are there ?,4,22,0
266,How many small objects are there ?,9,20,0
267,How many red objects are there ?,4,16,0
268,How many rubber objects are there ?,6,22,0
269,How many yellow cylinders are there ?,4,22,0
270,How many large rubber objects are there ?,5,22,0
271,How many yellow objects are there ?,4,14,0
272,How many purple objects are there ?,4,14,0
273,How many metal objects are there ?,9,23,0
274,How many green objects are there ?,3,18,0
275,How many rubber cylinders are there ?,3,23,0
276,How many blue metal objects are there ?,3,22,0
277,How many large rubber spheres are there ?,5,22,0
278,How many small metal objects are there ?,7,22,0
279,How many yellow objects are there ?,4,16,0
280,How many cubes are there ?,4,23,0
281,How many gray objects are there ?,4,22,0
282,How many cylinders are there ?,3,22,0
283,How many red objects are there ?,4,22,0
284,How many yellow metal spheres are there ?,3,18,0
285,How many blue objects are there ?,4,23,0
286,How many small purple metal cylinders are there ?,3,20,0
287,How many small metal objects are there ?,7,23,0
288,How many cylinders are there ?,8,23,0
289,How many small objects are there ?,4,22,0
290,How many spheres are there ?,6,24,0
291,How many small objects are there ?,10,22,0
292,How many blue objects are there ?,4,17,0
293,How many large objects are there ?,6,22,0
294,How many green metal cylinders are there ?,3,18,0
295,How many rubber objects are there ?,8,22,0
296,How many green cubes are there ?,4,18,0
297,How many blue rubber objects are there ?,4,22,0
298,How many small objects are there ?,7,15,0
299,How many small cyan objects are there ?,3,18,0
300,How many cubes are there ?,4,23,0
301,How many spheres are there ?,6,22,0
302,How many rubber objects are there ?,4,18,0
303,How many large objects are there ?,6,22,0
304,How many cubes are there ?,5,23,0
305,How many large objects are there ?,7,22,0
306,How many cylinders are there ?,5,19,0
307,How many large objects are there ?,4,15,0
308,How many spheres are there ?,4,22,0
309,How many rubber objects are there ?,4,22,0
310,How many cyan objects are there ?,3,22,0
311,How many gray objects are there ?,4,17,0
312,How many rubber cubes are there ?,4,28,0
313,How many small rubber objects are there ?,5,23,0
314,How many cyan objects are there ?,4,18,0
315,How many spheres are there ?,5,24,0
316,How many small cylinders are there ?,3,23,0
317,How many cubes are there ?,3,23,0
318,How many rubber objects are there ?,7,28,0
319,How many rubber objects are there ?,8,19,0
320,How many large objects are there ?,8,15,0
321,How many large objects are there ?,8,22,0
322,How many yellow spheres are there ?,3,22,0
323,How many cyan metal objects are there ?,4,18,0
324,How many yellow objects are there ?,6,20,0
325,How many spheres are there ?,3,24,0
326,How many rubber cubes are there ?,3,23,0
327,How many large metal objects are there ?,7,22,0
328,How many metal objects are there ?,5,23,0
329,How many cylinders are there ?,5,22,0
330,How many rubber objects are there ?,6,28,0
331,How many small objects are there ?,7,22,0
332,How many metal objects are there ?,5,17,0
333,How many rubber objects are there ?,7,22,0
334,How many small objects are there ?,6,22,0
335,How many cyan objects are there ?,4,24,0
336,How many rubber objects are there ?,10,23,0
337,How many blue rubber spheres are there ?,3,22,0
338,How many blue cylinders are there ?,4,23,0
339,How many large rubber objects are there ?,4,22,0
340,How many blue rubber spheres are there ?,3,24,0
341,How many green objects are there ?,5,22,0
342,How many small rubber spheres are there ?,4,22,0
343,How many blue cubes are there ?,3,28,0
344,How many spheres are there ?,6,22,0
345,How many rubber objects are there ?,5,28,0
346,How many large gray objects are there ?,3,23,0
347,How many metal objects are there ?,5,24,0
348,How many large objects are there ?,6,23,0
349,How many red objects are there ?,4,20,0
350,How many green objects are there ?,3,20,0
351,How many small red objects are there ?,4,22,0
352,How many small yellow cylinders are there ?,3,18,0
353,How many brown objects are there ?,4,28,0
354,How many large purple objects are there ?,3,15,0
355,How many yellow metal objects are there ?,3,18,0
356,How many purple objects are there ?,3,22,0
357,How many cylinders are there ?,7,22,0
358,How many gray objects are there ?,3,22,0
359,How many rubber objects are there ?,7,24,0
360,How many gray objects are there ?,3,20,0
361,How many green objects are there ?,4,24,0
362,How many yellow objects are there ?,4,15,0
363,How many brown cubes are there ?,3,20,0
364,How many spheres are there ?,10,22,0
365,How many large cyan cylinders are there ?,3,22,0
366,How many large objects are there ?,9,22,0
367,How many metal cylinders are there ?,3,22,0
368,How many large cyan metal objects are there ?,4,22,0
369,How many spheres are there ?,8,24,0
370,How many green objects are there ?,4,19,0
371,How many small objects are there ?,5,22,0
372,How many cylinders are there ?,5,18,0
373,How many cubes are there ?,5,23,0
374,How many rubber cubes are there ?,6,28,0
375,How many metal objects are there ?,7,23,0
376,How many cylinders are there ?,6,23,0
377,How many cubes are there ?,7,25,0
378,How many small gray spheres are there ?,3,22,0
379,How many rubber cylinders are there ?,4,22,0
380,How many red metal objects are there ?,4,15,0
381,How many metal objects are there ?,4,22,0
382,How many small cubes are there ?,5,23,0
383,How many large objects are there ?,8,18,0
384,How many metal objects are there ?,5,18,0
385,How many yellow metal cylinders are there ?,3,20,0
386,How many large metal objects are there ?,7,24,0
387,How many gray rubber spheres are there ?,3,20,0
388,How many small objects are there ?,5,15,0
389,How many small cylinders are there ?,4,22,0
390,How many metal objects are there ?,6,15,0
391,How many small objects are there ?,12,22,0
392,How many cubes are there ?,4,24,0
393,How many small red objects are there ?,4,20,0
394,How many rubber objects are there ?,8,15,0
395,How many small objects are there ?,4,28,0
396,How many gray objects are there ?,4,22,0
397,How many cubes are there ?,5,23,0
398,How many metal cylinders are there ?,3,22,0
399,How many small spheres are there ?,4,24,0
400,How many small objects are there ?,7,24,0
401,How many small cubes are there ?,3,24,0
402,How many small objects are there ?,6,28,0
403,How many gray matte objects are there ?,4,22,0
404,How many shiny objects are there ?,6,22,0
405,How many large matte objects are there ?,4,23,0
406,How many cyan objects are there ?,4,22,0
407,How many gray objects are there ?,4,15,0
408,How many blue objects are there ?,3,15,0
409,How many green objects are there ?,3,28,0
410,How many gray objects are there ?,3,18,0
411,How many small gray objects are there ?,3,22,0
412,How many cubes are there ?,3,28,0
413,How many green spheres are there ?,4,22,0
414,How many cyan shiny objects are there ?,3,14,0
415,How many cylinders are there ?,5,22,0
416,How many small objects are there ?,8,28,0
417,How many small rubber spheres are there ?,3,22,0
418,How many yellow cylinders are there ?,3,16,0
419,How many red objects are there ?,3,28,0
420,How many brown cylinders are there ?,3,22,0
421,How many large cyan rubber cylinders are there ?,3,18,0
422,How many spheres are there ?,6,27,0
423,How many matte objects are there ?,6,22,0
424,How many spheres are there ?,6,22,0
425,How many small metal cylinders are there ?,3,15,0
426,How many brown shiny objects are there ?,3,20,0
427,How many shiny objects are there ?,10,22,0
428,How many small spheres are there ?,4,22,0
429,How many cyan matte objects are there ?,4,14,0
430,How many small cylinders are there ?,3,17,0
431,How many purple spheres are there ?,3,22,0
432,How many spheres are there ?,7,24,0
433,How many large objects are there ?,6,24,0
434,How many cyan objects are there ?,6,22,0
435,How many small matte objects are there ?,4,22,0
436,How many green shiny objects are there ?,3,17,0
437,How many small shiny objects are there ?,3,22,0
438,How many shiny objects are there ?,8,25,0
439,How many metal cubes are there ?,4,18,0
440,How many small cylinders are there ?,4,22,0
441,How many shiny objects are there ?,6,22,0
442,How many yellow shiny objects are there ?,4,18,0
443,How many brown objects are there ?,4,15,0
444,How many large objects are there ?,5,23,0
445,How many small objects are there ?,5,22,0
446,How many gray objects are there ?,4,23,0
447,How many matte objects are there ?,6,24,0
448,How many small objects are there ?,7,16,0
449,How many gray cubes are there ?,3,18,0
450,How many matte objects are there ?,8,22,0
451,How many gray shiny objects are there ?,3,22,0
452,How many small objects are there ?,4,22,0
453,How many large objects are there ?,8,22,0
454,How many cylinders are there ?,5,22,0
455,How many matte objects are there ?,10,22,0
456,How many blue objects are there ?,3,24,0
457,How many small cylinders are there ?,3,23,0
458,How many cylinders are there ?,4,28,0
459,How many brown objects are there ?,3,18,0
460,How many yellow objects are there ?,3,20,0
461,How many large objects are there ?,6,22,0
462,How many matte objects are there ?,4,22,0
463,How many red objects are there ?,4,20,0
464,How many spheres are there ?,4,22,0
465,How many yellow objects are there ?,4,15,0
466,How many spheres are there ?,6,24,0
467,How many large yellow objects are there ?,4,24,0
468,How many small objects are there ?,10,22,0
469,How many matte objects are there ?,5,23,0
470,How many red shiny objects are there ?,4,16,0
471,How many blue matte objects are there ?,3,22,0
472,How many small objects are there ?,5,24,0
473,How many rubber spheres are there ?,3,22,0
474,How many large blue objects are there ?,4,15,0
475,How many cylinders are there ?,6,28,0
476,How many cubes are there ?,4,23,0
477,How many green shiny objects are there ?,3,22,0
478,How many metal cubes are there ?,5,18,0
479,How many shiny objects are there ?,5,22,0
480,How many spheres are there ?,3,22,0
481,How many small blue objects are there ?,5,23,0
482,How many small gray objects are there ?,3,24,0
483,How many brown objects are there ?,3,18,0
484,How many cyan cylinders are there ?,3,22,0
485,How many spheres are there ?,4,22,0
486,How many matte objects are there ?,6,22,0
487,How many cylinders are there ?,5,28,0
488,How many red matte objects are there ?,3,20,0
489,How many yellow spheres are there ?,3,22,0
490,How many large objects are there ?,9,22,0
491,How many cylinders are there ?,4,22,0
492,How many small objects are there ?,6,23,0
493,How many cylinders are there ?,4,23,0
494,How many blue cubes are there ?,4,18,0
495,How many shiny objects are there ?,3,22,0
496,How many shiny objects are there ?,4,22,0
497,How many large red objects are there ?,3,20,0
498,How many shiny objects are there ?,5,22,0
499,How many spheres are there ?,4,22,0
500,How many matte objects are there ?,5,20,0
501,What number of cubes are there ?,7,24,0
502,What number of rubber objects are there ?,7,28,0
503,What number of large objects are there ?,6,20,0
504,What number of cubes are there ?,8,18,0
505,What number of cyan cubes are there ?,3,28,0
506,What number of small yellow objects are there ?,3,18,0
507,What number of blue objects are there ?,4,22,0
508,What number of cubes are there ?,5,23,0
509,What number of rubber spheres are there ?,5,22,0
510,What number of large objects are there ?,5,20,0
511,What number of rubber objects are there ?,6,28,0
512,What number of yellow objects are there ?,3,20,0
513,What number of metal cylinders are there ?,3,22,0
514,What number of yellow objects are there ?,3,18,0
515,What number of purple cubes are there ?,5,15,0
516,What number of purple rubber objects are there ?,3,22,0
517,What number of metal objects are there ?,8,22,0
518,What number of large objects are there ?,5,18,0
519,What number of cyan objects are there ?,5,14,0
520,What number of brown objects are there ?,4,24,0
521,What number of small objects are there ?,4,22,0
522,What number of metal objects are there ?,9,22,0
523,What number of yellow objects are there ?,3,18,0
524,What number of purple objects are there ?,4,17,0
525,What number of small objects are there ?,6,22,0
526,What number of cylinders are there ?,5,17,0
527,What number of rubber objects are there ?,3,18,0
528,What number of metal objects are there ?,5,22,0
529,What number of large metal objects are there ?,5,22,0
530,What number of rubber objects are there ?,9,23,0
531,What number of spheres are there ?,6,22,0
532,What number of large cubes are there ?,4,20,0
533,What number of small objects are there ?,8,22,0
534,What number of metal objects are there ?,9,22,0
535,What number of small objects are there ?,9,22,0
536,What number of small metal objects are there ?,5,22,0
537,What number of cyan objects are there ?,3,14,0
538,What number of large cubes are there ?,6,23,0
539,What number of cyan objects are there ?,4,28,0
540,What number of yellow metal objects are there ?,3,18,0
541,What number of large objects are there ?,4,20,0
542,What number of metal objects are there ?,4,20,0
543,What number of gray spheres are there ?,3,22,0
544,What number of large objects are there ?,6,22,0
545,What number of large objects are there ?,4,23,0
546,What number of small brown objects are there ?,4,16,0
547,What number of cylinders are there ?,5,18,0
548,What number of metal objects are there ?,5,22,0
549,What number of large objects are there ?,5,23,0
550,What number of large objects are there ?,7,22,0
551,What number of cyan cubes are there ?,3,18,0
552,What number of yellow objects are there ?,3,18,0
553,What number of large blue metal objects are there ?,3,22,0
554,What number of small objects are there ?,10,17,0
555,What number of metal objects are there ?,3,18,0
556,What number of green objects are there ?,5,22,0
557,What number of large objects are there ?,7,22,0
558,What number of large cubes are there ?,4,28,0
559,What number of spheres are there ?,7,22,0
560,What number of large objects are there ?,6,22,0
561,What number of small spheres are there ?,4,22,0
562,What number of cylinders are there ?,6,22,0
563,What number of spheres are there ?,6,22,0
564,What number of large objects are there ?,6,22,0
565,What number of rubber objects are there ?,9,22,0
566,What number of green objects are there ?,4,22,0
567,What number of metal objects are there ?,6,22,0
568,What number of small objects are there ?,7,23,0
569,What number of blue objects are there ?,3,18,0
570,What number of small green objects are there ?,3,23,0
571,What number of small objects are there ?,7,18,0
572,What number of small metal objects are there ?,4,17,0
573,What number of gray metal objects are there ?,4,20,0
574,What number of cylinders are there ?,7,23,0
575,What number of cyan metal objects are there ?,3,18,0
576,What number of cubes are there ?,6,24,0
577,What number of large cubes are there ?,4,28,0
578,What number of rubber objects are there ?,4,22,0
579,What number of rubber objects are there ?,5,18,0
580,What number of small objects are there ?,6,22,0
581,What number of large rubber objects are there ?,7,22,0
582,What number of rubber objects are there ?,5,22,0
583,What number of spheres are there ?,3,22,0
584,What number of small cylinders are there ?,7,18,0
585,What number of metal objects are there ?,4,18,0
586,What number of green cylinders are there ?,5,17,0
587,What number of cylinders are there ?,5,20,0
588,What number of small blue rubber objects are there ?,3,18,0
589,What number of yellow objects are there ?,3,18,0
590,What number of metal objects are there ?,8,15,0
591,What number of green rubber cubes are there ?,3,14,0
592,What number of large objects are there ?,6,22,0
593,What number of cubes are there ?,4,23,0
594,What number of rubber objects are there ?,6,28,0
595,What number of small objects are there ?,7,22,0
596,What number of cubes are there ?,6,19,0
597,What number of blue objects are there ?,3,15,0
598,What number of purple objects are there ?,3,20,0
599,What number of gray metal objects are there ?,3,22,0
600,What number of yellow objects are there ?,5,18,0
601,How many green objects are there ?,4,28,0
602,How many small rubber objects are there ?,3,22,0
603,How many small metal objects are there ?,4,22,0
604,How many large objects are there ?,7,22,0
605,How many small cylinders are there ?,4,22,0
606,How many yellow objects are there ?,3,18,0
607,How many small objects are there ?,6,22,0
608,How many large metal objects are there ?,5,22,0
609,How many yellow objects are there ?,4,15,0
610,How many cylinders are there ?,5,22,0
611,How many small objects are there ?,5,23,0
612,How many rubber objects are there ?,6,22,0
613,How many small cylinders are there ?,3,16,0
614,How many blue objects are there ?,4,15,0
615,How many metal objects are there ?,5,27,0
616,How many cubes are there ?,7,23,0
617,How many yellow objects are there ?,3,19,0
618,How many blue rubber objects are there ?,3,24,0
619,How many large spheres are there ?,4,22,0
620,How many cubes are there ?,4,23,0
621,How many spheres are there ?,5,24,0
622,How many spheres are there ?,5,22,0
623,How many metal objects are there ?,10,22,0
624,How many large objects are there ?,5,22,0
625,How many cubes are there ?,5,23,0
626,How many metal objects are there ?,4,20,0
627,How many brown metal objects are there ?,3,22,0
628,How many gray cubes are there ?,4,24,0
629,How many blue metal objects are there ?,3,24,0
630,How many large brown objects are there ?,3,24,0
631,How many metal objects are there ?,4,24,0
632,How many rubber objects are there ?,9,22,0
633,How many large rubber objects are there ?,8,23,0
634,How many small objects are there ?,7,22,0
635,How many cylinders are there ?,6,22,0
636,How many large rubber objects are there ?,4,24,0
637,How many metal spheres are there ?,4,22,0
638,How many rubber objects are there ?,4,22,0
639,How many cubes are there ?,6,18,0
640,How many metal cylinders are there ?,3,22,0
641,How many cubes are there ?,5,28,0
642,How many large rubber spheres are there ?,4,22,0
643,How many metal objects are there ?,7,18,0
644,How many cyan objects are there ?,4,28,0
645,How many green objects are there ?,4,20,0
646,How many rubber objects are there ?,8,22,0
647,How many cubes are there ?,7,23,0
648,How many yellow objects are there ?,5,22,0
649,How many red objects are there ?,4,20,0
650,How many rubber objects are there ?,4,23,0
651,How many blue objects are there ?,3,14,0
652,How many metal objects are there ?,6,15,0
653,How many gray metal spheres are there ?,3,18,0
654,How many rubber objects are there ?,8,22,0
655,How many rubber objects are there ?,9,20,0
656,How many gray objects are there ?,4,20,0
657,How many cylinders are there ?,7,23,0
658,How many large rubber cubes are there ?,3,24,0
659,How many rubber spheres are there ?,4,24,0
660,How many metal objects are there ?,4,22,0
661,How many metal cylinders are there ?,4,22,0
662,How many metal objects are there ?,6,22,0
663,How many yellow objects are there ?,3,22,0
664,How many red objects are there ?,4,22,0
665,How many cyan objects are there ?,3,28,0
666,How many large objects are there ?,5,18,0
667,How many rubber spheres are there ?,3,22,0
668,How many rubber objects are there ?,4,28,0
669,How many large objects are there ?,9,22,0
670,How many rubber objects are there ?,5,24,0
671,How many rubber spheres are there ?,3,22,0
672,How many small objects are there ?,9,28,0
673,How many spheres are there ?,4,24,0
674,How many large spheres are there ?,3,24,0
675,How many yellow objects are there ?,3,22,0
676,How many cubes are there ?,9,28,0
677,How many spheres are there ?,4,22,0
678,How many rubber objects are there ?,11,22,0
679,How many red rubber objects are there ?,3,22,0
680,How many large objects are there ?,7,18,0
681,How many small metal objects are there ?,6,22,0
682,How many gray objects are there ?,4,17,0
683,How many cubes are there ?,4,24,0
684,How many green spheres are there ?,3,18,0
685,How many yellow objects are there ?,4,14,0
686,How many metal objects are there ?,10,20,0
687,How many small objects are there ?,4,14,0
688,How many large objects are there ?,8,22,0
689,How many yellow cubes are there ?,3,15,0
690,How many small objects are there ?,8,22,0
691,How many large objects are there ?,5,20,0
692,How many green objects are there ?,3,24,0
693,How many large objects are there ?,5,22,0
694,How many large objects are there ?,5,22,0
695,How many cyan cubes are there ?,3,28,0
696,How many metal objects are there ?,7,22,0
697,How many yellow objects are there ?,3,14,0
698,How many small objects are there ?,10,23,0
699,How many large objects are there ?,4,24,0
700,How many small green rubber objects are there ?,3,28,0
701,How many cylinders are there ?,6,23,0
702,How many metal objects are there ?,12,22,0
703,How many metal objects are there ?,5,22,0
704,How many green spheres are there ?,4,22,0
705,How many small rubber objects are there ?,7,23,0
706,How many cylinders are there ?,6,22,0
707,How many red objects are there ?,4,22,0
708,How many large spheres are there ?,5,22,0
709,How many large red objects are there ?,4,20,0
710,How many cylinders are there ?,8,28,0
711,How many rubber objects are there ?,8,28,0
712,How many cubes are there ?,7,23,0
713,How many rubber objects are there ?,6,28,0
