index,filenumber,qid,question,origanswer,generatedanswer,correctness
20010,11,216757,"Question: 
Answer Choices are: 
a. [10, 5, 4, 3, 1, 6, 4, 2, 11, 0, 7, 8]
b. [8, 5, 1, 4, 2, 11, 7, 3, 0, 4, 6, 10]
c. [5, 11, 8, 4, 10, 0, 4, 7, 3, 1, 2, 6]
d. [4, 8, 6, 7, 0, 11, 1, 3, 4, 2, 10, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"b. [8, 5, 1, 4, 2, 11, 7, 3, 0, 4, 6, 10]",0
20011,11,2167603,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [2, 0, 1]
c. [1, 0, 2]
d. [2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"c. [1, 0, 2]",0
20012,11,2167715,"Question: 
Answer Choices are: 
a. [3, 2, 5, 1, 4, 0]
b. [2, 3, 5, 0, 1, 4]
c. [1, 3, 5, 2, 4, 0]
d. [4, 3, 1, 0, 2, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [3, 2, 5, 1, 4, 0]",0
20013,11,2167728,"Question: 
Answer Choices are: 
a. [0, 2, 5, 1, 4, 3]
b. [0, 2, 1, 5, 3, 4]
c. [0, 3, 2, 1, 5, 4]
d. [5, 4, 1, 2, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [5, 4, 1, 2, 3, 0]",1
20014,11,2167734,"Question: 
Answer Choices are: 
a. [2, 4, 3, 1, 0]
b. [2, 3, 0, 1, 4]
c. [0, 1, 4, 3, 2]
d. [0, 4, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"c. [0, 1, 4, 3, 2]",1
20015,11,2167741,"Question: 
Answer Choices are: 
a. [4, 0, 5, 1, 2, 3]
b. [1, 5, 2, 3, 4, 0]
c. [1, 2, 0, 5, 3, 4]
d. [0, 4, 3, 2, 5, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is c.,0
20016,11,216775,"Question: 
Answer Choices are: 
a. [0, 2, 3, 1, 4]
b. [1, 0, 4, 3, 2]
c. [1, 0, 4, 3, 2]
d. [4, 2, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [4, 2, 3, 1, 0]",0
20017,11,2167770,"Question: 
Answer Choices are: 
a. [1, 4, 5, 2, 3, 0]
b. [5, 1, 3, 0, 4, 2]
c. [4, 3, 5, 2, 0, 1]
d. [4, 2, 5, 0, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,d,0
20018,11,2167875,"Question: 
Answer Choices are: 
a. [5, 2, 3, 1, 4, 0]
b. [1, 3, 2, 0, 5, 4]
c. [3, 5, 1, 0, 2, 4]
d. [4, 3, 1, 2, 0, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is a. [5, 2, 3, 1, 4, 0]",0
20019,11,2168169,"Question: 
Answer Choices are: 
a. [5, 2, 4, 6, 7, 0, 3, 1]
b. [3, 4, 5, 6, 7, 1, 0, 2]
c. [5, 1, 6, 3, 0, 4, 2, 7]
d. [3, 6, 5, 4, 7, 0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
20020,11,2168359,"Question: 
Answer Choices are: 
a. [2, 4, 3, 1, 0]
b. [1, 3, 4, 2, 0]
c. [4, 0, 3, 2, 1]
d. [0, 3, 2, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 3, 2, 1, 4]",0
20021,11,2168926,"Question: 
Answer Choices are: 
a. [2, 4, 3, 0, 1]
b. [0, 3, 4, 2, 1]
c. [4, 3, 2, 0, 1]
d. [4, 0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [4, 0, 1, 2, 3]",0
20022,11,216896,"Question: 
Answer Choices are: 
a. [5, 4, 1, 2, 6, 0, 3]
b. [6, 5, 0, 3, 2, 4, 1]
c. [2, 4, 5, 1, 0, 6, 3]
d. [2, 4, 3, 5, 0, 6, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is a.,0
20023,11,2169132,"Question: 
Answer Choices are: 
a. [0, 2, 1]
b. [0, 2, 1]
c. [1, 2, 0]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 1]",0
20024,11,2169261,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1]
b. [1, 0, 3, 2]
c. [3, 1, 2, 0]
d. [1, 3, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
20025,11,2169277,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1]
b. [3, 0, 1, 2]
c. [2, 1, 0, 3]
d. [3, 0, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is d.,1
20026,11,2169280,"Question: 
Answer Choices are: 
a. [1, 4, 3, 6, 2, 0, 5]
b. [0, 6, 5, 3, 1, 2, 4]
c. [6, 2, 3, 5, 0, 1, 4]
d. [1, 0, 3, 5, 6, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is a. [1, 4, 3, 6, 2, 0, 5]",0
20027,11,2169373,"Question: 
Answer Choices are: 
a. [4, 0, 1, 3, 2]
b. [1, 2, 3, 4, 0]
c. [2, 4, 0, 3, 1]
d. [2, 4, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 4, 3, 1, 0]",0
20028,11,2169492,"Question: 
Answer Choices are: 
a. [1, 6, 2, 4, 3, 5, 0]
b. [4, 2, 0, 6, 5, 1, 3]
c. [4, 0, 5, 1, 3, 2, 6]
d. [2, 4, 6, 5, 1, 3, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The correct order of events is d.,1
20029,11,2169516,"Question: 
Answer Choices are: 
a. [3, 6, 5, 1, 2, 0, 4]
b. [2, 5, 1, 0, 4, 6, 3]
c. [6, 2, 3, 4, 1, 5, 0]
d. [0, 2, 5, 1, 3, 6, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 2, 5, 1, 3, 6, 4]",0
20030,11,2169552,"Question: 
Answer Choices are: 
a. [4, 0, 2, 1, 3]
b. [4, 1, 3, 0, 2]
c. [1, 0, 2, 3, 4]
d. [3, 4, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is c. [1, 0, 2, 3, 4]",0
20031,11,2169629,"Question: 
Answer Choices are: 
a. [2, 3, 0, 1, 4]
b. [4, 2, 3, 0, 1]
c. [1, 4, 0, 2, 3]
d. [2, 1, 0, 3, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,b,0
20032,11,2170101,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2]
b. [2, 1, 3, 0]
c. [1, 2, 3, 0]
d. [3, 1, 0, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is c.,0
20033,11,2170376,"Question: 
Answer Choices are: 
a. [3, 0, 2, 1]
b. [1, 2, 0, 3]
c. [1, 0, 3, 2]
d. [2, 0, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
20034,11,2170718,"Question: 
Answer Choices are: 
a. [3, 0, 1, 2, 4]
b. [3, 1, 0, 4, 2]
c. [0, 1, 4, 2, 3]
d. [2, 4, 0, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 4, 0, 3, 1]",0
20035,11,2171294,"Question: 
Answer Choices are: 
a. [3, 1, 0, 2]
b. [1, 3, 2, 0]
c. [1, 2, 0, 3]
d. [0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 1, 2, 3]",0
20036,11,2171464,"Question: 
Answer Choices are: 
a. [3, 5, 2, 1, 0, 4]
b. [4, 5, 1, 0, 3, 2]
c. [0, 1, 4, 2, 5, 3]
d. [3, 4, 0, 1, 5, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
20037,11,2171600,"Question: 
Answer Choices are: 
a. [2, 3, 4, 1, 6, 5, 0]
b. [5, 4, 1, 3, 0, 6, 2]
c. [0, 4, 6, 3, 2, 1, 5]
d. [0, 6, 5, 4, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 6, 5, 4, 2, 1, 3]",1
20038,11,2171952,"Question: 
Answer Choices are: 
a. [1, 2, 3, 0]
b. [2, 1, 0, 3]
c. [3, 2, 1, 0]
d. [0, 3, 1, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 3, 1, 2]",0
20039,11,2172004,"Question: 
Answer Choices are: 
a. [4, 0, 1, 5, 3, 6, 2]
b. [2, 4, 6, 3, 0, 5, 1]
c. [4, 2, 5, 3, 6, 0, 1]
d. [0, 6, 4, 2, 5, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 6, 4, 2, 5, 1, 3]",1
20040,11,2172034,"Question: 
Answer Choices are: 
a. [1, 0, 3, 2, 4, 5]
b. [0, 4, 5, 3, 1, 2]
c. [1, 5, 2, 3, 0, 4]
d. [2, 0, 3, 4, 1, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [2, 0, 3, 4, 1, 5]",0
20041,11,2172290,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1, 4, 5]
b. [4, 1, 3, 0, 5, 2]
c. [5, 4, 3, 0, 1, 2]
d. [0, 4, 3, 2, 5, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,their correct order of events in the passage is d.,0
20042,11,2172489,"Question: 
Answer Choices are: 
a. [6, 1, 4, 7, 8, 0, 2, 5, 3]
b. [5, 7, 3, 6, 4, 0, 2, 8, 1]
c. [0, 1, 2, 3, 7, 6, 4, 5, 8]
d. [7, 0, 2, 6, 1, 3, 8, 4, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,d,0
20043,11,217257,"Question: 
Answer Choices are: 
a. [3, 0, 2, 1]
b. [3, 2, 0, 1]
c. [3, 0, 1, 2]
d. [3, 0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is c.,0
20044,11,2172699,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [1, 0, 2]
c. [0, 2, 1]
d. [2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 0, 1]",0
20045,11,2172905,"Question: 
Answer Choices are: 
a. [5, 6, 4, 2, 3, 1, 0]
b. [4, 1, 0, 6, 3, 2, 5]
c. [4, 1, 6, 3, 2, 5, 0]
d. [3, 6, 5, 4, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [4, 1, 6, 3, 2, 5, 0]",0
20046,11,2172920,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [0, 3, 2, 1]
c. [1, 3, 0, 2]
d. [3, 2, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events is b.,1
20047,11,2173008,"Question: 
Answer Choices are: 
a. [0, 2, 1, 3]
b. [0, 3, 2, 1]
c. [1, 0, 3, 2]
d. [1, 0, 3, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [1, 0, 3, 2]",1
20048,11,217358,"Question: 
Answer Choices are: 
a. [0, 1]
b. [1, 0]
c. [0, 1]
d. [1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The advertising executive was very pleased with the new campaign.,1
20049,11,217365,"Question: 
Answer Choices are: 
a. [0, 1]
b. [1, 0]
c. [1, 0]
d. [0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"b. [1, 0]",0
20050,11,2173956,"Question: 
Answer Choices are: 
a. [2, 3, 5, 9, 11, 6, 4, 8, 0, 10, 7, 1]
b. [10, 11, 7, 0, 9, 5, 1, 6, 2, 3, 8, 4]
c. [8, 10, 7, 1, 5, 4, 2, 11, 3, 9, 6, 0]
d. [2, 6, 10, 1, 0, 8, 4, 9, 11, 5, 3, 7]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
20051,11,217402,"Question: 
Answer Choices are: 
a. [2, 5, 3, 0, 1, 4]
b. [1, 2, 3, 4, 5, 0]
c. [2, 4, 1, 5, 3, 0]
d. [0, 1, 3, 2, 5, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 1, 3, 2, 5, 4]",0
20052,11,217404,"Question: 
Answer Choices are: 
a. [0, 1, 4, 2, 3]
b. [0, 4, 1, 2, 3]
c. [0, 2, 3, 1, 4]
d. [1, 2, 3, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [1, 2, 3, 0, 4]",0
20053,11,2174442,"Question: 
Answer Choices are: 
a. [1, 2, 5, 4, 0, 3]
b. [1, 4, 5, 2, 0, 3]
c. [3, 1, 0, 4, 5, 2]
d. [0, 2, 1, 5, 4, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [3, 1, 0, 4, 5, 2]",0
20054,11,2174455,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [2, 1, 3, 0]
c. [2, 0, 1, 3]
d. [2, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
20055,11,2174697,"Question: 
Answer Choices are: 
a. [1, 4, 0, 3, 2, 6, 5]
b. [3, 6, 4, 2, 1, 5, 0]
c. [1, 4, 6, 5, 2, 0, 3]
d. [0, 1, 3, 5, 4, 6, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
20056,11,2174785,"Question: 
Answer Choices are: 
a. [2, 0, 1, 3]
b. [1, 2, 0, 3]
c. [0, 3, 2, 1]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [0, 2, 3, 1]",0
20057,11,2174959,"Question: 
Answer Choices are: 
a. [3, 4, 2, 6, 5, 1, 0]
b. [5, 1, 3, 4, 0, 6, 2]
c. [5, 3, 0, 4, 6, 2, 1]
d. [5, 1, 3, 2, 4, 0, 6]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events is d.,0
20058,11,21749,"Question: 
Answer Choices are: 
a. [3, 6, 1, 0, 4, 7, 2, 5]
b. [6, 5, 2, 1, 4, 0, 3, 7]
c. [1, 0, 7, 2, 4, 5, 6, 3]
d. [7, 3, 0, 6, 1, 2, 5, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [7, 3, 0, 6, 1, 2, 5, 4]",0
20059,11,2175081,"Question: 
Answer Choices are: 
a. [2, 3, 0, 1]
b. [3, 2, 1, 0]
c. [2, 1, 0, 3]
d. [2, 3, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 3, 0, 1]",1
20060,11,2175308,"Question: 
Answer Choices are: 
a. [0, 4, 3, 1, 2]
b. [4, 3, 1, 0, 2]
c. [4, 0, 3, 2, 1]
d. [2, 0, 3, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [2, 0, 3, 1, 4]",1
20061,11,2175555,"Question: 
Answer Choices are: 
a. [0, 3, 2, 1]
b. [3, 1, 0, 2]
c. [0, 2, 1, 3]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is c. [0, 2, 1, 3]",1
20062,11,217597,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [3, 1, 0, 2]
c. [1, 0, 3, 2]
d. [0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,d,0
20063,11,2176092,"Question: 
Answer Choices are: 
a. [3, 2, 4, 1, 5, 0]
b. [4, 3, 2, 0, 1, 5]
c. [0, 4, 3, 5, 1, 2]
d. [0, 5, 2, 3, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [0, 5, 2, 3, 1, 4]",0
20064,11,2176431,"Question: 
Answer Choices are: 
a. [2, 1, 0]
b. [0, 2, 1]
c. [2, 1, 0]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events in the passage is a. [2, 1, 0]",0
20065,11,217645,"Question: 
Answer Choices are: 
a. [2, 1, 3, 0, 4]
b. [4, 1, 3, 2, 0]
c. [4, 3, 0, 2, 1]
d. [1, 3, 0, 2, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"d. [1, 3, 0, 2, 4]",0
20066,11,2176763,"Question: 
Answer Choices are: 
a. [1, 5, 3, 0, 2, 4]
b. [4, 1, 3, 5, 0, 2]
c. [4, 1, 5, 3, 2, 0]
d. [1, 2, 4, 5, 0, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [4, 1, 5, 3, 2, 0]",0
20067,11,2176813,"Question: 
Answer Choices are: 
a. [1, 2, 5, 4, 0, 3, 6]
b. [3, 2, 6, 1, 4, 0, 5]
c. [0, 6, 4, 5, 1, 2, 3]
d. [3, 2, 1, 5, 6, 0, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,b,0
20068,11,2177114,"Question: 
Answer Choices are: 
a. [1, 3, 4, 2, 6, 0, 5]
b. [6, 0, 3, 5, 1, 4, 2]
c. [2, 3, 0, 1, 5, 6, 4]
d. [6, 0, 2, 1, 5, 4, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The answer is c.,1
20069,11,2177239,"Question: 
Answer Choices are: 
a. [1, 4, 0, 2, 3]
b. [0, 3, 4, 1, 2]
c. [2, 3, 0, 1, 4]
d. [2, 3, 0, 1, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is d.,0
20070,11,2177262,"Question: 
Answer Choices are: 
a. [2, 0, 1]
b. [2, 1, 0]
c. [1, 2, 0]
d. [0, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 2, 1]",1
20071,11,2177555,"Question: 
Answer Choices are: 
a. [3, 5, 2, 1, 0, 4]
b. [2, 4, 3, 1, 5, 0]
c. [0, 4, 3, 2, 1, 5]
d. [3, 2, 4, 1, 0, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"b. [2, 4, 3, 1, 5, 0]",0
20072,11,2178450,"Question: 
Answer Choices are: 
a. [1, 2, 0]
b. [2, 1, 0]
c. [2, 1, 0]
d. [2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,The answer is b.,0
20073,11,2178569,"Question: 
Answer Choices are: 
a. [4, 2, 1, 0, 6, 3, 5]
b. [6, 2, 5, 1, 4, 0, 3]
c. [2, 4, 0, 3, 5, 1, 6]
d. [3, 6, 2, 4, 1, 0, 5]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [3, 6, 2, 4, 1, 0, 5]",0
20074,11,217879,"Question: 
Answer Choices are: 
a. [4, 5, 0, 3, 1, 2]
b. [0, 5, 3, 1, 2, 4]
c. [3, 4, 0, 1, 2, 5]
d. [4, 3, 5, 1, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,d,1
20075,11,2178967,"Question: 
Answer Choices are: 
a. [2, 0, 3, 1]
b. [3, 1, 0, 2]
c. [2, 0, 1, 3]
d. [0, 3, 2, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,"c. [2, 0, 1, 3]",0
20076,11,21789,"Question: 
Answer Choices are: 
a. [8, 2, 7, 6, 1, 4, 9, 3, 5, 0]
b. [2, 4, 0, 5, 1, 9, 7, 6, 8, 3]
c. [3, 1, 6, 2, 0, 4, 9, 7, 5, 8]
d. [1, 4, 0, 5, 7, 2, 3, 9, 6, 8]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"d. [1, 4, 0, 5, 7, 2, 3, 9, 6, 8]",0
20077,11,2179153,"Question: 
Answer Choices are: 
a. [2, 6, 0, 1, 4, 5, 3]
b. [4, 0, 2, 6, 1, 5, 3]
c. [2, 6, 4, 5, 3, 1, 0]
d. [2, 3, 4, 1, 6, 5, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [2, 3, 4, 1, 6, 5, 0]",0
20078,11,217933,"Question: 
Answer Choices are: 
a. [4, 1, 3, 2, 0]
b. [1, 2, 4, 0, 3]
c. [1, 0, 2, 4, 3]
d. [1, 3, 4, 2, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The correct order of events is b.,1
20079,11,217960,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1, 4]
b. [1, 0, 4, 2, 3]
c. [4, 0, 2, 1, 3]
d. [0, 4, 2, 1, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 4, 2, 1, 3]",0
20080,11,2179689,"Question: 
Answer Choices are: 
a. [0, 1]
b. [1, 0]
c. [1, 0]
d. [0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"The correct order of events is d, c, b, a.",1
20081,11,2179765,"Question: 
Answer Choices are: 
a. [4, 2, 0, 3, 1]
b. [3, 0, 4, 2, 1]
c. [0, 1, 3, 4, 2]
d. [0, 4, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is c.,0
20082,11,217983,"Question: 
Answer Choices are: 
a. [0, 1, 5, 3, 4, 2]
b. [3, 0, 5, 2, 1, 4]
c. [4, 0, 1, 5, 3, 2]
d. [0, 2, 5, 3, 4, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"d. [0, 2, 5, 3, 4, 1]",0
20083,11,217984,"Question: 
Answer Choices are: 
a. [4, 0, 1, 5, 3, 2]
b. [2, 5, 1, 3, 0, 4]
c. [0, 1, 5, 2, 4, 3]
d. [1, 2, 3, 0, 5, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,The answer is c.,0
20084,11,217993,"Question: 
Answer Choices are: 
a. [3, 1, 2, 0]
b. [2, 3, 1, 0]
c. [2, 1, 3, 0]
d. [1, 2, 0, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order of events is b. [2, 3, 1, 0]",0
20085,11,218058,"Question: 
Answer Choices are: 
a. [1, 3, 0, 2]
b. [3, 1, 2, 0]
c. [1, 0, 2, 3]
d. [0, 1, 2, 3]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,The passage states:,0
20086,11,21805,"Question: 
Answer Choices are: 
a. [6, 0, 5, 4, 2, 1, 3]
b. [6, 3, 0, 5, 4, 1, 2]
c. [5, 2, 4, 1, 6, 3, 0]
d. [0, 1, 4, 5, 3, 6, 2]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",b,"c. [5, 2, 4, 1, 6, 3, 0]",0
20087,11,2180837,"Question: 
Answer Choices are: 
a. [1, 0, 2, 3]
b. [3, 2, 0, 1]
c. [1, 0, 2, 3]
d. [0, 2, 3, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",d,"d. [0, 2, 3, 1]",1
20088,11,2180875,"Question: 
Answer Choices are: 
a. [3, 2, 0, 1]
b. [1, 2, 0, 3]
c. [2, 1, 0, 3]
d. [2, 3, 1, 0]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,"The correct order is a. [3, 2, 0, 1].",0
20089,11,218088,"Question: 
Answer Choices are: 
a. [6, 12, 11, 3, 4, 8, 5, 9, 1, 0, 7, 2, 10]
b. [0, 4, 11, 2, 9, 1, 6, 12, 3, 10, 8, 7, 5]
c. [1, 4, 0, 7, 2, 10, 6, 3, 12, 11, 5, 8, 9]
d. [5, 1, 6, 3, 12, 8, 9, 0, 2, 11, 7, 10, 4]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",c,d,0
20090,11,2180992,"Question: 
Answer Choices are: 
a. [1, 3, 2, 0]
b. [0, 3, 2, 1]
c. [2, 0, 1, 3]
d. [3, 2, 0, 1]
Specify their correct order of events in the passage by choosing one of a, b, c or d: 
",a,The answer is b.,0
