qid,gt_ans,pred_ans_blip,correctness_blip
66,Bab al-Tebbaneh and from the Alawite district of Jebal Mohsen,Bab al-Tebbaneh and from the Alawite district of Tripoli,0
67,the Alawites,the Jews,0
68,to establish a heavenly kingdom on the Korean peninsula with Moon as king,to establish a heavenly kingdom on the Korean peninsula with Moon as president,0
69,soon after the late president is buried,soon after the late president is buried,1
70,President Mahama,President Mahama,1
71,"midnight screening of the new Batman film, The Dark Knight Rises","midnight screening of the new Batman film, The Dark Knight Rises",1
72,"Kabwe, Zambia","Lagos, Nigeria",0
73,Favorite Music Video for ‚ÄúBoyfriend‚Äù,Favorite Movie,0
74,Ahmadinejad,Ahmadinejad,1
75,Thursday,Thursday,1
76,French,French,1
77,eligible to run for parliament,unable to run for parliament,0
78,Marj al-Sultan air base,Kandahar air base,0
79,Marj al-Sultan air base,Kandahar air base,0
80,Tokyo University seismologist Robert Geller,Harvard University seismologist Robert Geller,0
81,Tokyo University seismologist Robert Geller,Harvard University seismologist Robert Geller,0
82,11-Mar,11-Apr,0
83,to boost a longstanding alliance,to improve relations,0
84,London,London,1
85,pelvic region,abdominal region,0
86,to make way for political negotiations in accordance with a deal struck with the Congolese government,to make way for a new airport,0
87,European Union,Russia,0
88,16,2,0
89,Larisa Latynina,Olga Korbut,0
90,Ryan Lochte,Nathan Adrian,0
91,three years ago,one year ago,0
92,three years ago,last year,0
93,defeat and surrender,defeat and surrender,1
94,Mohammed Kawam,John Smith,0
95,"ordinary people in Lebanon, Syria, Jordan and the Gulf.","commoners in Lebanon, Syria, Jordan and the Gulf",0
96,Bilal bin Rabah mosque in Sidon,Dylann Roof mosque in Charleston,0
97,Bilal bin Rabah mosque in Sidon,Dylann Roof mosque in Charleston,0
98,at least six people,at least six people,1
99,neighboring Kenya and Ethiopia,neighboring Kenya and Ethiopia,1
100,neighboring Kenya and Ethiopia,neighboring Kenya and Ethiopia,1
101,neighboring Kenya and Ethiopia,neighboring Kenya and Ethiopia,1
102,United Nations Convention on the Law of the Sea,Universal Declaration of Human Rights,0
103,Assad government,ISIS,0
104,2-Aug,4-Aug,0
105,2-Aug,2-Aug,1
106,2-Aug,4-Aug,0
107,2-Aug,4-Aug,0
108,Ashraf,Ashif,0
109,President Obama,President Obama,1
110,President Obama,President Obama,1
111,Secretary of State Hillary Clinton,President Barack Obama,0
112,New Zealand Prime Minister John Key,New Zealand Prime Minister John Key,1
113,next week,last week,0
114,People's Movement for the Liberation of Angola (MPLA),Democratic Republic of the Congo (DRC),0
115,People's Movement for the Liberation of Angola (MPLA),South Africa,0
116,December Holidays,December Holidays,1
117,Kurdish region of northern Iraq,Kurdish region of northern Iraq,1
118,Lower House Speaker Shwe Mann,Lady Speaker Shwe Mann,0
119,to refocus European policy on growth,to refocus Russian policy on growth,0
120,to refocus European policy on growth,To refocus European policy on trade,0
121,September,December,0
122,Alabama Shakes,Alabama Shakes,1
123,the Ethiopian Peoples' Revolutionary Democratic Front,The Ethiopian Peoples' Revolutionary Armed Forces,0
124,David Shinn,John Smith,0
125,6.1 percent,10.1 percent,0
126,next year,never,0
127,increasing overall civilian and military cooperation with Israel,halting all civilian and military cooperation with Israel,0
128,increasing overall civilian and military cooperation with Israel,waging a war against Israel,0
129,increasing overall civilian and military cooperation with Israel,increasing overall military cooperation with Israel,0
130,likely Republican presidential nominee Mitt Romney,Texas governor Rick Perry,0
131,Page,Jones,0
132,Qais al-Khazali,Kays al-Khazali,0
133,Egyptian Foreign Minister Mohammed Kamel Amr,Nigerian President Goodluck Jonathan,0
134,Egyptian Foreign Minister Mohammed Kamel Amr,Nigerian President Goodluck Jonathan,0
135,Alexandria,Cairo,0
136,Muslim Brotherhood,Muslim Brotherhood,1
137,Forty-six,Forty-eight,0
138,Hafez Assad,Saddam Hussein,0
139,Abdel-Moneim Abolfotoh,Hosni Mubarak,0
140,Abdel-Moneim Abolfotoh,Khaled Fawzy,0
141,"a state that has become an economic powerhouse under his watch. He is credited with rooting out corruption, building infrastructure and creating a business-friendly environment. That is in stark contrast to many others parts of the country, where graft and lack of governance have set back the economy.","a state that has become an economic powerhouse under his watch, but he is also credited with human rights abuses. That is in stark contrast to many others parts of the country, where graft and lack of governance have set back the economy.",0
142,spurring development in Gujarat,lack of development in Gujarat,0
143,spurring development in Gujarat,lack of development in Gujarat,0
144,Wayne LaPierre,Jerry Jones,0
145,negative political advertising in the U.S. presidential campaign,issue advertising in the U.S. presidential campaign,0
146,European leaders,European citizens,0
147,Jean-Marc Ayrault,Martine Aubry,0
148,Omar Mwamnuadzi,July Mwamnuadzi,0
149,Sally Dworsky,Karen O ,0
150,Sally Dworsky,Karen O ,0
151,Sally Dworsky,Karen O ,0
152,Hofstra University in New York state,Harvard University in Massachusetts,0
153,Mitt Romney,Barack Obama,0
154,Opposition leader Sergei Udaltsov,Prime Minister Sergei Udaltsov,0
155,12 key U.S. swing states,12 key U.S. swing states,1
156,2011,2012,0
157,"accused of raping one woman and ‚Äúsexually molesting and coercing‚Äù a second woman in 2010, has repeatedly said the sex was consensual and that allegations are politically motivated","accused of raping one woman and ‚Äúsexually molesting and coercing‚Äù a second woman in 2009, has repeatedly said the sex was consensual and that allegations are politically motivated",0
158,"the Revolutionary Armed Forces of Colombia, better known as FARC",the Revolutionary Armed Forces of Peru,0
159,"the Revolutionary Armed Forces of Colombia, better known as FARC","the Revolutionary Armed Forces of Cuba, better known as FAR",0
160,Dung,Chung,0
161,Kelly Ayotte,John McCain,0
162,Five days after the Benghazi attack,Four days after the Benghazi attack,0
163,2009,2012,0
164,Dmitry Medvedev,Joseph Stalin,0
165,Dmitry Medvedev,Vladimir Putin,0
166,General Martin Dempsey,General Dwight Eisenhower,0
167,Alexander Aan,Stalin,0
168,Thompson Square earned its first CMA award and ended Sugarland’s five-year winning streak as Vocal Duo of the Year.,Sugarland won the award for Vocal Duo of the Year.,0
169,the city's Catholic Archdiocese at the luxury Waldorf-Astoria Hotel.,the city's Buddhist temple at the local community center.,0
170,"at an annual fundraising dinner hosted by the city's Catholic Archdiocese at the luxury Waldorf-Astoria Hotel. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.","at an annual funeral hosted by the city's Catholic Archdiocese at the luxury Waldorf-Astoria Hotel. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.",0
171,"at an annual fundraising dinner hosted by the city's Catholic Archdiocese at the luxury Waldorf-Astoria Hotel. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.","at an annual fundraising dinner hosted by the city's Mayor at the local park. Unlike their heated exchanges in Tuesday's debate, Obama and Romney are expected to deliver humorous speeches in keeping with the spirit and tradition of the event.",0
172,Thursday night,Saturday night,0
173,2012,2012,1
174,an equal number of male and female ministers,no ministers,0
175,Secretary of State Hillary Clinton,Secretary of State Hillary Clinton,1
176,Joseph Kabila,Joseph Kabila,1
177,Omar Mwamnuadzi,Osmar Mwamnuadzi,0
178,Omar Mwamnuadzi,Charles Mwamnuadzi,0
179,Ronald E. Neumann,Ronald McDonald,0
180,the assembly,the tribunal,0
181,Zalmai Rassoul,Hamid Karzai,0
182,Cetin Dogan,Tughril,0
183,President Obama,President Obama,1
184,Prime Minister Raja Pervez Ashraf to submit a report on his findings by July 25.,King,0
185,Prime Minister Raja Pervez Ashraf,Prime Minister Imran Khan,0
186,"Thein Sein, himself a former general","Xi Jinping, a former general",0
187,President Thein Sein,President Thein Sein,1
188,58,72,0
189,Massachusetts,Massachusetts,1
190,58,88,0
191,58,60,0
192,58,54,0
193,58,8,0
194,58,48,0
195,Mo Yan,WoYan,0
196,former prime minister Shinzo Abe,former president Barack Obama,0
197,hooliganism motivated by religious hatred.,hooliganism motivated by gender hatred.,0
198,hooliganism motivated by religious hatred.,hooliganism motivated by personal hatred.,0
199,Turkish state,Russian state,0
200,Milwaukee Mayor Tom Barrett,Milwaukee Mayor Tom Barrett,1
201,"eastern state of Virginia, while Romney has a campaign event in the western state of Nevada.","western state of Nevada, while Romney has a campaign event in the western state of Nevada.",0
202,eastern state of Virginia,eastern state of Virginia,1
203,the eastern state of Virginia,the northern state of Virginia,0
204,Mitt Romney,Barack Obama,0
205,middle-class Americans,rich Americans,0
206,Cedar Rapids,Cedar Rapids,1
207,a few months ago,a few months ago,1
208,Friday morning,Saturday morning,0
209,tax breaks for small businesses,tax breaks for small businesses,1
210,high unemployment,high unemployment,1
211,tax breaks for small businesses,creating jobs,0
212,Hailemariam Desalegn,Jawar Mohammed,0
213,Dina Mufti,Dina Mufti,1
214,former South African President Thabo Mbeki,former South African President Nelson Mandela,0
215,televised debates,televised interviews,0
216,International Women's Leadership Forum in the Mongolian capital,International Women's Leadership Forum in Russia,0
217,Tsakhia Elbegdorj,Nambaryn Enkhbayar,0
218,Tsakhia Elbegdorj,Tsakhia Elbegdorj,1
219,a strategic priority of U.S. foreign policy,to secure international peace and security.,0
220,Tsakhia Elbegdorj,Naraa Enkhbayar,0
221,Tsakhia Elbegdorj,Xi Jinping,0
222,Tsakhia Elbegdorj,Bat-Erdene Ider,0
223,former Syrian Prime Minister Riyad Hijab,former Syrian Prime Minister Ahmed Hijab,0
224,Convicted Lockerbie Bomber Dies After Cancer Battle,Convicted lockerbie bomber dies after car accident,0
225,promoting U.S. investment and raising human rights concerns.,promoting U.S. investment and raising environmental concerns.,0
226,promoting U.S. investment,trying to escape the country,0
227,Bereket Simon,Bereket Simon,1
228,Bereket Simon,Bereket Simon,1
229,the removal of the Congress-Party led government.,the removal of the Republican-Party led government.,0
230,the removal of the Congress-Party led government.,the removal of the foreign troops.,0
231,Timothy Geithner,Barack Obama,0
232,Treasury Secretary Timothy Geithner,House Speaker John Boehner,0
233,Thursday,Tuesday,0
234,Chongqing,Shanghai,0
235,Thursday,Wednesday,0
236,Gu Kailai,Mao Zedong,0
237,Hanoi,London,0
238,Sonia Gandhi,Sonia Gandhi,1
239,Sonia Gandhi,Mahatma Gandhi,0
240,President-elect Mohamed Morsi,President-elect Osama bin Laden,0
241,"Thulani Madondo, a founder of the Kliptown Youth Project, or KYP.","Thulani Madondo, a founder of the Kliptown Youth Project, or KYP.",1
242,Paul Ryan,Paul Ryan,1
243,Wisconsin,Wisconsin,1
244,Janesville,Milwaukee,0
245,Wisconsin congressman,Arkansas governor,0
246,21,21,1
247,athletics,athletics,1
248,Mark Zuckerberg,John Doe,0
249,human trafficking,war,0
250,"Emancipation Proclamation, the 150-year-old document that proclaimed the freedom of slaves during the U.S. Civil War, two years before slavery was formally outlawed","Emancipation Proclamation, the document that proclaimed the freedom of slaves during the British Civil War, two years before slavery was formally outlawed",0
251,millions of people around the world exist in slavery,millions of people around the world exist in slavery,1
252,Taliban officials,Afghan government officials,0
253,Wednesday,Thursday,0
254,Poland,Afghanistan,0
255,Poland,India,0
256,Republican Mitt Romney,Republican Mitt Romney,1
257,Larry Sabato,Dan Bartlett,0
258,Romney,Romney,1
259,5-Nov-12,5-Feb-12,0
260,Larry Sabato,CNN,0
261,Riad Hijab,Riad Hijab,1
262,Riad Hijab,Riad Hijab,1
263,BBC Chief Resigns Amid Programming Scandal,BBC Chief Fired Amid Programming Scandal,0
264,BBC Chief Resigns Amid Programming Scandal,BBC Chief Fired Amid Programming Scandal,0
265,"Joplin, Missouri","Kansas City, Missouri",0
266,"Joplin, Missouri","Joplin, Missouri",1
267,"Joplin, Missouri","Joplin, Alabama",0
268,"Joplin, Missouri","Joplin, massachusetts",0
269,a revolver,a knife,0
270,a revolver,a knife,0
271,Yingluck Shinawatra,Ban Kongsom,0
272,Yingluck Shinawatra,Yingluck Shinawat,0
273,Yingluck Shinawatra,Margaret Thatcher,0
274,Yingluck Shinawatra,Margaret Thatcher,0
275,his policies have discouraged job growth.,his policies have encouraged job growth. ,0
276,Republicans in Congress,Republicans in Congress,1
277,Republican candidate Mitt Romney.,Republican candidate Mitt Romney.,1
278,Republican candidate Mitt Romney.,Republican candidate Mitt Romney.,1
279,many of the so-called swing states,galloping of the horse states,0
280,Andi Mallarangeng,Andi corruption,0
281,5.9 percent next year,5 percent next year,0
282,Krishna,Ram,0
283,Manmohan Singh,Sonia Gandhi,0
284,Krishna,Ram,0
285,Manmohan Singh,Imran Khan,0
286,Manmohan Singh,Imran Khan,0
287,S.M. Krishna,Jawaharlal Nehru,0
288,S.M. Krishna,M.S. Dhoni,0
289,Murder,Murder,1
290,Friday,Sunday,0
291,stop campaigning and get to work,continue campaigning and get to work,0
292,Wednesday,Wednesday,1
293,"Timothy Geithner,","Gerald Ford, ",0
294,middle-class Americans,the president,0
295,Wednesday,Wednesday,1
296,Kurdish autonomous region,United kingdom,0
297,"a willingness, an interest, or frankly, the courage to close the deal","a willingness, an interest, or frankly, the courage to close the deal",1
298,Secretary of State Clinton,Secretary of State Kerry,0
299,Stephen Kiprotich,Barry Magee,0
300,James Michael Harvey,James Michael Jarvis,0
301,United States,France,0
302,United States,Canada,0
303,Bechara Boutros Rai,Michel Sabbah,0
304,Mitt Romney,Mitt Romney,1
305,almost $9 million in lottery funds,almost $9 million in lottery funds,1
306,a long-term spinal illness,cancer.,0
307,"Outside the hospital, supporters rallied behind the former president, some chanting ""Free Gloria","Outside the hospital, supporters rallied behind the former president, some chanting ""Free Gloria",1
308,Outside the hospital,At the police station,0
309,Joint Base Andrews in Maryland,Arlington National Cemetery in Virginia,0
310,Joint Base Andrews in Maryland,Arlington National Cemetery in Virginia,0
311,Joint Base Andrews in Maryland,Andrews Air Force Base in Maryland,0
312,Joint Base Andrews in Maryland,Joint Base Andrews in Washington,0
313,Joint Base Andrews in Maryland,Joint Base Andrews in Washington,0
314,on his first day in office,on his first day in office,1
315,Republican Mitt Romney,Democrat Barack Obama,0
316,between three and seven points,between two and five points,0
317,Mitt Romney,John McCain,0
318,Cairo's Tahrir Square.,Moscow's Red Square.,0
319,Cairo's Tahrir Square.,Moscow's Red Square.,0
320,next Friday,next Wednesday,0
321,next Friday,next Tuesday,0
322,next Friday,next Monday,0
323,next Friday,next Saturday,0
324,next Friday,next Saturday,0
325,next Friday,next Saturday,0
326,next Friday,next Saturday,0
327,former East Germany,former West Germany,0
328,"Mamata Sharma, the Chairperson of the National Commission for Women,","Narendra Modi, the Prime Minister of India",0
329,six men on board,six men on board,1
330,Hamid Karzai,Imran Khan,0
331,Hamid Karzai,Imran Khan,0
332,acute morning sickness,food poisoning,0
333,Pantsir-1 anti-aircraft weapons system,SA-2 anti-aircraft weapons system,0
334,Burma's President Thein Sein,China's President Xi Jinping,0
335,Sean Turnell,Shawn Turner,0
336,Yang Jiechi,Tony Leung,0
337,28-Jul,31-Jul,0
338,"House Minority Leader Nancy Pelosi (D-CA) on Capitol Hill, Dec. 7, 2012","House Speaker John Boehner (R-OH) on Capitol Hill, Nov. 21, 2012",0
339,President Barack Obama,President Barack Obama,1
340,President Barack Obama,President Barack Obama,1
341,Nancy Pelosi (D-CA),Mitch McConnell (R-KY),0
342,Marine Le Pen,May Perry,0
343,spiritual leader the Dalai Lama,the Pope,0
344,spiritual leader the Dalai Lama,spiritual leader the Dalai Lama,1
345,spiritual leader the Dalai Lama,spiritual leader the Dalai Lama,1
346,spiritual leader the Dalai Lama,activist the Dalai Lama ,0
347,a widely-perceived lack of freedoms under Chinese rule,to express dissatisfaction with their own lives,0
348,"the frustration and the despair that people feel as they see the increased violations of their human rights, and the increased restrictions [imposed] on Buddhist monasteries",the frustration and despair that people feel as they see the increased number of people immolating themselves,0
349,Cheick Modibo Diarra,Chiek Modibo Diarra,0
350,Defense Secretary Leon Panetta,Secretary of State Hillary Clinton,0
351,Martin Dempsey,James Dempsey,0
352,"current U.S. Defense Secretary, Leon Panetta supports the treaty.","current U.S. Attorney General, Eric Holder supports the treaty.",0
353,10-Jan,10-Apr,0
354,10-Jan,12-Jan,0
355,10-Jan,10-Jan,1
356,10-Jan,10-Jan,1
357,two terms,one term,0
358,five,five,1
359,five,three,0
360,former U.S. President Jimmy Carter.,former first lady Rosalynn Carter,0
361,Monday,Tuesday,0
362,New York's Hofstra University,California's Stanford University,0
363,New York's Hofstra University.,Harvard University.,0
364,Romney,Trump,0
365,New York's Hofstra University,Arizona's University of Phoenix,0
366,Jesse Kelly,Jesse Kelly,1
367,Ron Barber,Ron Barber,1
368,Ron Barber,Ron Burgundy,0
369,Jesse Kelly,Jeff Flake,0
370,pragmatic politics in preparation for the next Israeli election,to gain more traction in the polls.,0
371,defeating Mr. Obama,defeating Mr. Trump,0
372,Congressman Paul Ryan,Senator John McCain,0
373,to prevent Iran from having nuclear weapons.,to prevent Iran from having nuclear weapons.,1
374,GoodLuck Jonathan,GoodLuck Jonathan,1
375,12 others,12 others,1
376,Peres,Perez,0
377,Yasser Arafat,Nelson Mandela,0
378,Catherine Ashton,Queen Elizabeth II,0
379,one of the prostitutes at the Washington sex party,one of the president's at the Washington sex party,0
380,Tuesday,Tuesday,1
381,democracy ideas,socialism ideas,0
382,October,January,0
383,Pakistani Railway Minister Ghulam Ahmad Bilour,Pakistani President Arif Alvi,0
384,Prime Minister Mykola Azarov and his Cabinet Monday,Prime Minister Mykola Azarov,0
385,late July,early July,0
386,late July,late June,0
387,Queen Elizabeth Hospital in Birmingham,University College London,0
388,Queen Elizabeth Hospital in Birmingham,Queen Elizabeth Hospital in London,0
389,Queen Elizabeth Hospital in Birmingham,Queen Elizabeth Hospital in Birmingham,1
390,Yulia Tymoshenko,Petro Poroshenko,0
391,Yulia Tymoshenko,Yulia Tymoshenko,1
392,Yulia Tymoshenko,Petro Poroshenko,0
393,Yulia Tymoshenko,Yulia Tymoshenko,1
394,Yevhenia,Yulia,0
395,President Barack Obama,Congress,0
396,25-Oct-12,15-Oct-12,0
397,Rehman Malik,Rehman Malik,1
398,21st Century human rights means having the same rights on-line as off,21st Century human rights means having the same rights for everyone,0
399,Zambia,Zimbabwe,0
400,Manmohan Singh,Jawaharlal Nehru,0
401,Manmohan Singh,Mahatma Gandhi,0
402,"to address a range of issues including conservation, sustainable development, and gender equality.",to protect the rights of Pacific islanders,0
403,"$17 billion in cuts to spending, benefits and pensions and tax increases.","20 billion in cuts to spending, benefits and pensions and tax increases.",0
404,Down syndrome,Pregnant,0
405,Dorje Lungdup,Dorje Wangchuk,0
406,Tongren,Tongnan,0
407,to support future deficit reductions,to support future borrowing,0
408,Mark Jaster,John Jaster,0
409,48.7 percent,48.7 percent,1
410,being foreign born,being white,0
411,Nicolas Maduro,Nicolas Maduro,1
412,pelvic region,stomach region,0
413,Meles Zenawi,Nelson Mandela,0
414,Meskel Square in downtown Addis Ababa,The Great Pyramid of Giza in Egypt,0
415,Meskel Square in downtown Addis Ababa,Meskel Square in downtown Addis Ababa,1
416,"Turkey of Supporting ""terrorists"" and contributing to the bloodshed in Syria.","Turkey of Funding ""terrorists"" and contributing to the bloodshed in Syria.",0
417,Uganda,Uganda,1
418,a signal to the U.S. and Turkey that Russia is ready to take a more active role in achieving a diplomatic solution to the Syria crisis,a signal that Russia is not interested in a diplomatic solution to the Syria crisis,0
419,Obama,Obama,1
420,saxophonist Gerald Albright and guitarist Norman Brown.,first person to walk on the moon,0
421,24/7 springs from their dedication to making music,They wrote the song in 7 minutes,0
422,Hillary Clinton,Hillary Clinton,1
423,"John Atta Mills, who died suddenly on July 24.","John Atta Mills, who died suddenly on July 24.",1
424,John Atta Mill,Johnson Atta Mill,0
425,Mitt Romney,Barack Obama,0
426,The American people almost always vote their pocketbooks,They are popular.,0
427,Mitt Romney,Ronald Reagan,0
428,Ken Duberstein,David Gergen,0
429,Mitt Romney,Mitt Romney,1
430,Mitt Romney,Barack Obama,0
431,former Massachusetts governor Mitt Romney.,former Texas governor Rick Perry,0
432,President Barack Obama,President Barack Obama,1
433,Mitt Romney,Joe Biden,0
434,Mitt Romney,Donald Trump,0
435,Mitt Romney,Mitt Romney,1
436,Monday,Tuesday,0
437,Thein Sein,Thein Sein,1
438,2020,2010,0
439,Riad Hijab,Osama bin Laden,0
440,vandalism against church property,destroying or damaging public property,0
441,vandalism against church property,battery,0
442,opium,dreams,0
443,continued U.S. military interference in the region,U.S. military activity in the region,0
444,continued U.S. military interference in the region,continued U.S. military interference in the region,1
445,2009,2012,0
446,Barack Obama,Barack Obama,1
447,November of next year,December of this year,0
448,November of next year,November of this year,0
449,Jordan,Egypt,0
450,Alawite Islam,Judaism,0
451,Alawite Islam,Christianity,0
452,to prevent him from setting himself on fire and bringing attention to Tibet's plight,to prevent him from setting himself on fire and bringing attention to Tibet's plight,1
453,scheduling reasons,personal reasons,0
454,Yang Jiechi,Wang Yi,0
455,Daniel Day-Lewis,Ben Affleck,0
456,January 1865,January 1863,0
457,Abraham Lincoln,Barack Obama,0
458,J. Christopher Stevens,J. Christopher Stevens,1
459,Hailemariam Desalegn,Hailemariam Desalegn,1
460,Ph.D. candidate at King's College London,Lawyer,0
461,President Obama,President Obama,1
462,Wednesday,Thursday,0
463,Second U.S. Presidential Debate,Veep Debate,0
464,Neil Heywood,Neil Gaiman,0
465,Neil Heywood,Neil Heywood,1
466,Relationship Comedy,Horror Movie,0
467,Arnold,Arnold,1
468,Tommy Lee Jones,Brad Pitt,0
469,unknown,unknown,1
470,Mitt Romney,Barack Obama,0
471,five years,one year,0
472,presumptive Republican nominee,presumptive Republican nominee,1
473,presumptive Republican nominee,Scott Walker,0
474,bring to justice those responsible for the deaths of American diplomats in Libya,take military action against those responsible for the death of American diplomats in Libya,0
475,Egyptian President Mohamed Morsi,American President Barack Obama,0
476,Defense Minister General Abdel-Fattah el-Sissi,Navy Commander Vice Admiral Osama Rabie,0
477,Defense Minister General Abdel-Fattah el-Sissi,Navy Commander Vice Admiral Osama Rabie,0
478,inspections issue,phone issue,0
479,South Waziristan tribal district along the Afghan border,North Waziristan tribal district along the Afghan border,0
480,South Waziristan tribal district along the Afghan border,South Waziristan tribal district along the Afghan border,1
481,Mianwali near Pakistan's tribal areas,Karachi near Pakistan's tribal areas,0
482,Boston,Berlin,0
483,Sebhat Nega,Abiy Ahmed,0
484,June,August,0
485,June,March,0
486,free and fair elections,free and fair elections,1
487,free and fair elections,human rights violation,0
488,free and fair elections,free speech and freedom,0
489,free and fair elections,rigged elections,0
490,by Thursday,never,0
491,by Thursday,by Sunday,0
492,greater integration in Europe,no integration in Europe,0
493,greater integration in Europe,lowering taxes,0
494,end-of-2012,end of 2011,0
495,long live Dalai Lama,long live Dalai Lama,1
496,near the Tsoe monastery in northwest China's Gansu province,near the Tseo monastery in southwest China's Gansu province,0
497,Syrian President Bashar al-Assad,Russian President Vladimir Putin,0
498,Syrian President Bashar al-Assad,Russian President Vladimir Putin,0
499,next March,October,0
500,Nairobi,Nairobi,1
501,remain ‚Äúpeaceful‚Äù and not participate in any violent demonstrations,remain ‚Äúpeaceful‚Äù and not participate in any violent demonstrations,1
502,Fernando Lugo,Fernando Lugo,1
503,Franco,Franco,1
504,Franco,Rancho,0
505,Egypt,Egypt,1
506,all Egyptians,all Americans,0
507,Egyptian military chief Field Marshal Mohamed Hussein Tantawi,Russian president Vladimir Putin,0
508,Paul Ryan,Paul Ryan,1
509,42-year-old congressman as his vice presidential pick.,52-year-old mayor as his vice presidential pick.,0
510,Paul Ryan,Mitt Romney,0
511,Paul Ryan,Paul Ryan,1
512,near Gazprom’s headquarters in central Moscow.,near the Red Square in central Moscow,0
513,Syrian President Bashar al-Assad,Russian President Vladimir Putin,0
514,opposition Syrian National Council,opposition Syrian National Council,1
515,Mitt Romney,Barack Obama,0
516,labor leaders,government officials,0
517,Trumka,Obama,0
518,More Taxes for Rich Americans,More Taxes for Rich Americans,1
519,Bashir Ahmed Bilour,Bashir Bilour Ahmed,0
520,President Hu Jintao,President Xi Jinping,0
521,President Hu Jintao,President Xi Jinping,0
522,President Hu,President Xi,0
523,Afghan President Hamid Karzai,Chinese President Xi Jinping,0
524,Honolulu,Honolulu,1
525,Honolulu,Honolulu,1
526,Honolulu,Honolulu,1
527,Honolulu,Honolulu,1
528,Honolulu,Honolulu,1
529,Honolulu,Honolulu,1
530,Chiranuch Premchaiporn,Wassana Nanuam,0
531,Vladivostok,Vladimir,0
532,Liang Guanglie,Xi Jinping,0
533,Liang Guanglie,Xi Jinping,0
