index,qid,question,origanswer,generatedanswer,correctness
52,1000,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
53,1001,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
54,1002,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
55,1003,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
56,1004,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
57,1005,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
58,1006,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
59,1007,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
60,1008,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
61,1009,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
62,1010,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
63,1011,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
64,1012,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
65,1013,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
66,1014,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
67,1015,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
68,1016,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
69,1017,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
70,1018,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
71,1019,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
72,1020,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
73,1021,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
74,1022,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
75,1023,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
76,1024,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
77,1025,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
78,1026,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
79,1027,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
80,1028,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
81,1029,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
82,1030,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
83,1031,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
84,1032,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
85,1033,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
86,1034,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
87,1035,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
88,1036,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
89,1037,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
90,1038,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
91,1039,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
92,1040,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
93,1041,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
94,1042,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
95,1043,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
96,1044,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
97,1045,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
98,1046,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
99,1047,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
100,1048,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
101,1049,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
102,1050,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
103,1051,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
104,1052,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
105,1053,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
106,1054,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
107,1055,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
108,1056,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
109,1057,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
110,1058,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
111,1059,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
112,1060,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
113,1061,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
114,1062,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
115,1063,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
116,1064,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
117,1065,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
118,1066,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
119,1067,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
120,1068,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
121,1069,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
122,1070,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
123,1071,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
124,1072,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
125,1073,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
126,1074,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
127,1075,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
128,1076,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
129,1077,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
130,1078,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
131,1079,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
132,1080,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
133,1081,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
134,1082,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
135,1083,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
136,1084,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
137,1085,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
138,1086,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
139,1087,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
140,1088,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
141,1089,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
142,1090,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
143,1091,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
144,1092,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
145,1093,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
146,1094,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
147,1095,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
148,1096,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
149,1097,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
150,1098,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
151,1099,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
152,1100,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
153,1101,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
154,1102,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
155,1103,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
156,1104,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
157,1105,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
158,1106,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
159,1107,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
160,1108,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
161,1109,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
162,1110,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
163,1111,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
164,1112,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
165,1113,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
166,1114,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
167,1115,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
168,1116,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
169,1117,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
170,1118,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
171,1119,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
172,1120,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
173,1121,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
174,1122,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
175,1123,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
176,1124,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
177,1125,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
178,1126,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
179,1127,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
180,1128,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
181,1129,Select an image from the following choices for which information provided in the passage holds true. ,0,0,1
182,1130,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
183,1131,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
184,1132,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
185,1133,Select an image from the following choices for which information provided in the passage holds true. ,0,1,0
186,1134,Select an image from the following choices for which information provided in the passage holds true. ,1,0,0
187,1135,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
188,1136,Select an image from the following choices for which information provided in the passage holds true. ,1,1,1
189,1137,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
190,1138,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
191,1139,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
192,1140,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
193,1141,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
194,1142,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
195,1143,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
196,1144,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
197,1145,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
198,1146,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
199,1147,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
200,1148,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
201,1149,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
202,1150,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
203,1151,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
204,1152,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
205,1153,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
206,1154,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
207,1155,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
208,1156,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
209,1157,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
210,1158,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
211,1159,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
212,1160,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
213,1161,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
214,1162,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
215,1163,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
216,1164,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
217,1165,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
218,1166,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
219,1167,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
220,1168,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
221,1169,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
222,1170,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
223,1171,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
224,1172,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
225,1173,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
226,1174,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
227,1175,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
228,1176,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
229,1177,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
230,1178,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
231,1179,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
232,1180,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
233,1181,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
234,1182,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
235,1183,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
236,1184,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
237,1185,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
238,1186,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
239,1187,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
240,1188,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
241,1189,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
242,1190,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
243,1191,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
244,1192,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
245,1193,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
246,1194,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
247,1195,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
248,1196,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
249,1197,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
250,1198,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
251,1199,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
252,1200,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
253,1201,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
254,1202,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
255,1203,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
256,1204,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
257,1205,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
258,1206,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
259,1207,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
260,1208,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
261,1209,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
262,1210,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
263,1211,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
264,1212,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
265,1213,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
266,1214,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
267,1215,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
268,1216,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
269,1217,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
270,1218,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
271,1219,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
272,1220,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
273,1221,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
274,1222,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
275,1223,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
276,1224,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
277,1225,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
278,1226,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
279,1227,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
280,1228,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
281,1229,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
282,1230,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
283,1231,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
284,1232,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
285,1233,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
286,1234,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
287,1235,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
288,1236,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
289,1237,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
290,1238,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
291,1239,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
292,1240,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
293,1241,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
294,1242,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
295,1243,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
296,1244,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
297,1245,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
298,1246,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
299,1247,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
300,1248,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
301,1249,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
302,1250,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
303,1251,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
304,1252,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
305,1253,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
306,1254,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
307,1255,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
308,1256,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
309,1257,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
310,1258,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
311,1259,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
312,1260,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
313,1261,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
314,1262,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
315,1263,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
316,1264,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,1,0
317,1265,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,0,0,1
318,1266,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,0,0
319,1267,Determine if the information in the passage is correct for a given pair of  images. Left image is denoted by [0] and right image is denoted by [1].,1,1,1
