index,sub_index,filenumber,qid,question,origanswer,generatedanswer,correctness
11668,1667,6,1392880,Choose the correct order of the events?,3,0,0
11726,1725,6,1394335,Choose the correct order of the events?,3,0,0
11783,1782,6,139610,Choose the correct order of the events?,0,2,0
11840,1839,6,1398411,Choose the correct order of the events?,1,2,0
11892,1891,6,1400871,Choose the correct order of the events?,2,0,0
12024,23,7,1406945,Choose the correct order of the events?,3,0,0
12148,147,7,141456,Choose the correct order of the events?,3,1,0
12361,360,7,1426853,Choose the correct order of the events?,3,2,0
12372,371,7,1427503,Choose the correct order of the events?,3,0,0
12405,404,7,1429485,Choose the correct order of the events?,2,0,0
12584,583,7,1443232,Choose the correct order of the events?,0,3,0
12585,584,7,1443237,Choose the correct order of the events?,3,0,0
12734,733,7,145149,Choose the correct order of the events?,3,1,0
12794,793,7,1455245,Choose the correct order of the events?,2,2,1
13001,1000,7,1470794,Choose the correct order of the events?,2,0,0
13019,1018,7,1471676,Choose the correct order of the events?,3,0,0
13032,1031,7,1472635,Choose the correct order of the events?,3,1,0
13203,1202,7,1483458,Choose the correct order of the events?,3,0,0
13261,1260,7,148727,Choose the correct order of the events?,1,1,1
13291,1290,7,1488799,Choose the correct order of the events?,3,2,0
13304,1303,7,1489371,Choose the correct order of the events?,2,0,0
13306,1305,7,1489530,Choose the correct order of the events?,2,3,0
13308,1307,7,1489783,Choose the correct order of the events?,3,1,0
13477,1476,7,1504360,Choose the correct order of the events?,3,0,0
13492,1491,7,150487,Choose the correct order of the events?,3,0,0
13499,1498,7,1505161,Choose the correct order of the events?,2,1,0
13542,1541,7,1506902,Choose the correct order of the events?,2,3,0
13551,1550,7,1507170,Choose the correct order of the events?,1,1,1
13562,1561,7,1507352,Choose the correct order of the events?,1,2,0
13752,1751,7,1516147,Choose the correct order of the events?,3,1,0
13760,1759,7,1516638,Choose the correct order of the events?,3,2,0
13885,1884,7,1522451,Choose the correct order of the events?,1,2,0
14024,23,8,1533612,Choose the correct order of the events?,3,0,0
14049,48,8,1534823,Choose the correct order of the events?,3,2,0
14070,69,8,1535627,Choose the correct order of the events?,2,1,0
14173,172,8,1540891,Choose the correct order of the events?,3,2,0
14301,300,8,1555057,Choose the correct order of the events?,2,1,0
14416,415,8,1560217,Choose the correct order of the events?,2,0,0
14564,563,8,1569541,Choose the correct order of the events?,3,0,0
14755,754,8,1590465,Choose the correct order of the events?,1,3,0
14760,759,8,1590705,Choose the correct order of the events?,3,0,0
14828,827,8,1595343,Choose the correct order of the events?,3,0,0
14887,886,8,1600366,Choose the correct order of the events?,3,0,0
14928,927,8,160405,Choose the correct order of the events?,3,2,0
14940,939,8,160540,Choose the correct order of the events?,2,3,0
15101,1100,8,1616036,Choose the correct order of the events?,0,1,0
15111,1110,8,1617164,Choose the correct order of the events?,2,0,0
15115,1114,8,1617649,Choose the correct order of the events?,2,0,0
15117,1116,8,1617714,Choose the correct order of the events?,1,3,0
15122,1121,8,1618007,Choose the correct order of the events?,3,1,0
15147,1146,8,1620763,Choose the correct order of the events?,3,0,0
15155,1154,8,1621472,Choose the correct order of the events?,1,2,0
15182,1181,8,1623740,Choose the correct order of the events?,0,3,0
15203,1202,8,1624454,Choose the correct order of the events?,1,0,0
15262,1261,8,1626560,Choose the correct order of the events?,3,0,0
15349,1348,8,1631370,Choose the correct order of the events?,2,1,0
15745,1744,8,1662107,Choose the correct order of the events?,1,0,0
15753,1752,8,1662578,Choose the correct order of the events?,0,1,0
15949,1948,8,1681165,Choose the correct order of the events?,3,0,0
15973,1972,8,1682352,Choose the correct order of the events?,2,1,0
16006,5,9,1683697,Choose the correct order of the events?,3,0,0
16007,6,9,1683708,Choose the correct order of the events?,3,0,0
16024,23,9,1685052,Choose the correct order of the events?,3,1,0
16106,105,9,1691677,Choose the correct order of the events?,3,1,0
16131,130,9,1694462,Choose the correct order of the events?,3,0,0
16135,134,9,1694691,Choose the correct order of the events?,2,0,0
16205,204,9,1701378,Choose the correct order of the events?,0,3,0
16259,258,9,1706126,Choose the correct order of the events?,2,0,0
16324,323,9,1711190,Choose the correct order of the events?,1,2,0
16351,350,9,1717617,Choose the correct order of the events?,3,2,0
16354,353,9,1717784,Choose the correct order of the events?,3,0,0
16365,364,9,1719221,Choose the correct order of the events?,3,0,0
16413,412,9,1725279,Choose the correct order of the events?,3,1,0
16415,414,9,1725780,Choose the correct order of the events?,3,1,0
16416,415,9,1725856,Choose the correct order of the events?,3,2,0
16513,512,9,173377,Choose the correct order of the events?,2,1,0
16519,518,9,1734558,Choose the correct order of the events?,3,2,0
16520,519,9,1734636,Choose the correct order of the events?,3,0,0
16521,520,9,1734709,Choose the correct order of the events?,0,0,1
16558,557,9,1741571,Choose the correct order of the events?,3,0,0
16647,646,9,1751373,Choose the correct order of the events?,2,1,0
16795,794,9,1764770,Choose the correct order of the events?,0,3,0
16839,838,9,1770140,Choose the correct order of the events?,3,0,0
16853,852,9,1770984,Choose the correct order of the events?,0,2,0
16860,859,9,1771206,Choose the correct order of the events?,2,0,0
16868,867,9,1771580,Choose the correct order of the events?,0,2,0
16927,926,9,1779076,Choose the correct order of the events?,3,0,0
16936,935,9,1779834,Choose the correct order of the events?,1,1,1
16947,946,9,1780442,Choose the correct order of the events?,3,0,0
17007,1006,9,1787744,Choose the correct order of the events?,2,0,0
17129,1128,9,1798549,Choose the correct order of the events?,3,0,0
17134,1133,9,1798928,Choose the correct order of the events?,2,0,0
17136,1135,9,179937,Choose the correct order of the events?,3,3,1
17176,1175,9,1804593,Choose the correct order of the events?,3,0,0
17180,1179,9,1804641,Choose the correct order of the events?,1,1,1
17294,1293,9,1818449,Choose the correct order of the events?,3,0,0
17322,1321,9,1821674,Choose the correct order of the events?,3,0,0
17324,1323,9,1821800,Choose the correct order of the events?,3,0,0
17340,1339,9,18228,Choose the correct order of the events?,3,3,1
17368,1367,9,1826118,Choose the correct order of the events?,3,2,0
17369,1368,9,1826122,Choose the correct order of the events?,3,1,0
17385,1384,9,1827638,Choose the correct order of the events?,2,0,0
17422,1421,9,1830993,Choose the correct order of the events?,3,0,0
17425,1424,9,1831173,Choose the correct order of the events?,2,3,0
17527,1526,9,1846001,Choose the correct order of the events?,3,2,0
17553,1552,9,184998,Choose the correct order of the events?,1,1,1
17577,1576,9,1853230,Choose the correct order of the events?,3,0,0
17598,1597,9,1855636,Choose the correct order of the events?,1,0,0
17623,1622,9,1857659,Choose the correct order of the events?,0,0,1
17649,1648,9,1860551,Choose the correct order of the events?,3,0,0
17704,1703,9,1865683,Choose the correct order of the events?,1,3,0
17779,1778,9,1870915,Choose the correct order of the events?,3,1,0
17869,1868,9,1881773,Choose the correct order of the events?,3,0,0
17877,1876,9,1882112,Choose the correct order of the events?,3,2,0
17889,1888,9,1883203,Choose the correct order of the events?,3,2,0
17932,1931,9,18881,Choose the correct order of the events?,1,0,0
18014,13,10,1894412,Choose the correct order of the events?,3,2,0
18055,54,10,1900075,Choose the correct order of the events?,3,0,0
18057,56,10,1900156,Choose the correct order of the events?,1,3,0
18058,57,10,1900162,Choose the correct order of the events?,0,0,1
18067,66,10,1900844,Choose the correct order of the events?,3,2,0
18131,130,10,1908606,Choose the correct order of the events?,3,0,0
18169,168,10,191460,Choose the correct order of the events?,3,1,0
18205,204,10,1916583,Choose the correct order of the events?,1,0,0
18212,211,10,191737,Choose the correct order of the events?,3,1,0
18229,228,10,1918984,Choose the correct order of the events?,2,2,1
18232,231,10,1919463,Choose the correct order of the events?,3,0,0
18273,272,10,1926334,Choose the correct order of the events?,3,1,0
18319,318,10,19313,Choose the correct order of the events?,3,0,0
18333,332,10,193369,Choose the correct order of the events?,2,0,0
18341,340,10,1934816,Choose the correct order of the events?,3,0,0
18346,345,10,1935762,Choose the correct order of the events?,2,0,0
18400,399,10,1941315,Choose the correct order of the events?,2,3,0
18408,407,10,1942147,Choose the correct order of the events?,3,0,0
18456,455,10,1949149,Choose the correct order of the events?,1,2,0
18586,585,10,1957311,Choose the correct order of the events?,1,1,1
18623,622,10,1964702,Choose the correct order of the events?,1,3,0
18625,624,10,1964761,Choose the correct order of the events?,1,0,0
18642,641,10,1966754,Choose the correct order of the events?,2,0,0
18652,651,10,1967812,Choose the correct order of the events?,3,1,0
18767,766,10,1985247,Choose the correct order of the events?,1,2,0
18818,817,10,1988253,Choose the correct order of the events?,3,2,0
18827,826,10,1989071,Choose the correct order of the events?,2,0,0
18830,829,10,1989104,Choose the correct order of the events?,0,1,0
18841,840,10,1990228,Choose the correct order of the events?,3,1,0
18878,877,10,1994239,Choose the correct order of the events?,2,0,0
18930,929,10,1999843,Choose the correct order of the events?,1,0,0
18931,930,10,1999854,Choose the correct order of the events?,1,3,0
19090,1089,10,2026419,Choose the correct order of the events?,3,1,0
19223,1222,10,2052904,Choose the correct order of the events?,1,2,0
19251,1250,10,2056550,Choose the correct order of the events?,3,1,0
19272,1271,10,20592,Choose the correct order of the events?,3,0,0
19316,1315,10,2064217,Choose the correct order of the events?,1,0,0
19371,1370,10,2073068,Choose the correct order of the events?,3,0,0
19584,1583,10,2110922,Choose the correct order of the events?,2,0,0
19589,1588,10,2113517,Choose the correct order of the events?,2,3,0
19696,1695,10,2131261,Choose the correct order of the events?,2,3,0
19715,1714,10,2135040,Choose the correct order of the events?,1,3,0
19730,1729,10,213744,Choose the correct order of the events?,3,2,0
19808,1807,10,2144764,Choose the correct order of the events?,1,0,0
19921,1920,10,2158336,Choose the correct order of the events?,1,0,0
20050,49,11,217365,Choose the correct order of the events?,3,1,0
20100,99,11,2182994,Choose the correct order of the events?,3,0,0
20208,207,11,2200106,Choose the correct order of the events?,3,2,0
20301,300,11,2212173,Choose the correct order of the events?,3,0,0
20305,304,11,2212525,Choose the correct order of the events?,3,1,0
20316,315,11,221402,Choose the correct order of the events?,0,3,0
20321,320,11,221488,Choose the correct order of the events?,3,0,0
20358,357,11,2220691,Choose the correct order of the events?,0,3,0
20383,382,11,2223585,Choose the correct order of the events?,3,1,0
20464,463,11,2234753,Choose the correct order of the events?,3,1,0
20473,472,11,2235111,Choose the correct order of the events?,3,1,0
20597,596,11,224616,Choose the correct order of the events?,2,3,0
20600,599,11,224654,Choose the correct order of the events?,3,0,0
20678,677,11,2261840,Choose the correct order of the events?,3,0,0
20899,898,11,229201,Choose the correct order of the events?,0,1,0
20933,932,11,2297078,Choose the correct order of the events?,3,0,0
20976,975,11,2303,Choose the correct order of the events?,2,3,0
21110,1109,11,2323039,Choose the correct order of the events?,3,0,0
21255,1254,11,235780,Choose the correct order of the events?,2,3,0
21269,1268,11,2362134,Choose the correct order of the events?,1,0,0
21273,1272,11,2363745,Choose the correct order of the events?,2,0,0
21282,1281,11,2365170,Choose the correct order of the events?,2,3,0
21452,1451,11,2406685,Choose the correct order of the events?,3,0,0
21472,1471,11,2409969,Choose the correct order of the events?,2,0,0
21515,1514,11,2412582,Choose the correct order of the events?,3,2,0
21562,1561,11,241607,Choose the correct order of the events?,2,0,0
21631,1630,11,2426677,Choose the correct order of the events?,0,3,0
21664,1663,11,2433878,Choose the correct order of the events?,3,0,0
21790,1789,11,245686,Choose the correct order of the events?,3,1,0
21852,1851,11,2468803,Choose the correct order of the events?,1,0,0
21853,1852,11,2468991,Choose the correct order of the events?,3,0,0
21882,1881,11,2475684,Choose the correct order of the events?,1,1,1
22019,18,12,2500070,Choose the correct order of the events?,3,0,0
22024,23,12,2501784,Choose the correct order of the events?,2,3,0
22056,55,12,2511332,Choose the correct order of the events?,0,0,1
22066,65,12,2514434,Choose the correct order of the events?,3,2,0
22134,133,12,2526531,Choose the correct order of the events?,3,0,0
22143,142,12,2527124,Choose the correct order of the events?,3,1,0
22163,162,12,2531651,Choose the correct order of the events?,0,1,0
22226,225,12,254415,Choose the correct order of the events?,3,0,0
22357,356,12,2567185,Choose the correct order of the events?,2,2,1
22385,384,12,2574042,Choose the correct order of the events?,3,0,0
22401,400,12,2577231,Choose the correct order of the events?,2,0,0
22419,418,12,2580604,Choose the correct order of the events?,2,0,0
22425,424,12,258144,Choose the correct order of the events?,3,0,0
22448,447,12,2585288,Choose the correct order of the events?,3,0,0
22465,464,12,258802,Choose the correct order of the events?,2,0,0
22562,561,12,2605345,Choose the correct order of the events?,3,0,0
22597,596,12,261126,Choose the correct order of the events?,3,0,0
22610,609,12,2613292,Choose the correct order of the events?,0,3,0
22620,619,12,2615482,Choose the correct order of the events?,3,2,0
22647,646,12,2621342,Choose the correct order of the events?,3,1,0
22677,676,12,262762,Choose the correct order of the events?,1,2,0
22680,679,12,2628168,Choose the correct order of the events?,3,0,0
22735,734,12,2644066,Choose the correct order of the events?,3,0,0
22759,758,12,2647057,Choose the correct order of the events?,3,2,0
22761,760,12,2647414,Choose the correct order of the events?,3,1,0
22766,765,12,264772,Choose the correct order of the events?,3,0,0
22784,783,12,2649671,Choose the correct order of the events?,3,0,0
22836,835,12,2657922,Choose the correct order of the events?,1,1,1
22857,856,12,2661182,Choose the correct order of the events?,3,2,0
22858,857,12,2661254,Choose the correct order of the events?,0,3,0
22883,882,12,2669379,Choose the correct order of the events?,2,3,0
22902,901,12,2669867,Choose the correct order of the events?,2,1,0
22908,907,12,2669883,Choose the correct order of the events?,3,2,0
22991,990,12,268076,Choose the correct order of the events?,2,2,1
23002,1001,12,2682141,Choose the correct order of the events?,2,2,1
23011,1010,12,2683139,Choose the correct order of the events?,1,0,0
23129,1128,12,2707891,Choose the correct order of the events?,3,0,0
23141,1140,12,2709507,Choose the correct order of the events?,1,3,0
23146,1145,12,2710496,Choose the correct order of the events?,1,0,0
23170,1169,12,2716782,Choose the correct order of the events?,3,0,0
23182,1181,12,2719895,Choose the correct order of the events?,3,1,0
23236,1235,12,2724407,Choose the correct order of the events?,3,2,0
23257,1256,12,2728881,Choose the correct order of the events?,1,3,0
23334,1333,12,2746127,Choose the correct order of the events?,3,0,0
23342,1341,12,2748236,Choose the correct order of the events?,3,0,0
23423,1422,12,2773618,Choose the correct order of the events?,3,0,0
23430,1429,12,2774958,Choose the correct order of the events?,1,1,1
23446,1445,12,2780531,Choose the correct order of the events?,2,0,0
23450,1449,12,2780540,Choose the correct order of the events?,1,0,0
23467,1466,12,2780851,Choose the correct order of the events?,2,1,0
23481,1480,12,2783046,Choose the correct order of the events?,0,3,0
23504,1503,12,2787786,Choose the correct order of the events?,3,0,0
23621,1620,12,281634,Choose the correct order of the events?,0,0,1
23626,1625,12,2817734,Choose the correct order of the events?,3,0,0
23695,1694,12,2838286,Choose the correct order of the events?,3,0,0
23774,1773,12,285340,Choose the correct order of the events?,3,1,0
23782,1781,12,2855957,Choose the correct order of the events?,3,3,1
23821,1820,12,2867143,Choose the correct order of the events?,3,0,0
23849,1848,12,2873703,Choose the correct order of the events?,3,0,0
23959,1958,12,2900843,Choose the correct order of the events?,2,0,0
24053,52,13,2926062,Choose the correct order of the events?,0,0,1
24111,110,13,2939733,Choose the correct order of the events?,2,1,0
24128,127,13,2942,Choose the correct order of the events?,3,1,0
24171,170,13,295208,Choose the correct order of the events?,2,3,0
24206,205,13,2958784,Choose the correct order of the events?,3,1,0
24280,279,13,2973986,Choose the correct order of the events?,3,0,0
24465,464,13,3018198,Choose the correct order of the events?,1,2,0
24492,491,13,3026071,Choose the correct order of the events?,0,1,0
24531,530,13,303150,Choose the correct order of the events?,2,0,0
24535,534,13,3032220,Choose the correct order of the events?,3,2,0
24552,551,13,303788,Choose the correct order of the events?,3,2,0
24558,557,13,304017,Choose the correct order of the events?,2,3,0
24603,602,13,3051397,Choose the correct order of the events?,1,0,0
24611,610,13,3052660,Choose the correct order of the events?,1,2,0
24645,644,13,305752,Choose the correct order of the events?,3,0,0
24724,723,13,308229,Choose the correct order of the events?,1,0,0
24771,770,13,3093314,Choose the correct order of the events?,3,1,0
24796,795,13,3094241,Choose the correct order of the events?,3,0,0
24830,829,13,3104751,Choose the correct order of the events?,2,3,0
24838,837,13,310784,Choose the correct order of the events?,1,0,0
24852,851,13,3111035,Choose the correct order of the events?,3,0,0
24878,877,13,3117222,Choose the correct order of the events?,0,1,0
24887,886,13,3119756,Choose the correct order of the events?,3,0,0
24931,930,13,3136381,Choose the correct order of the events?,1,2,0
24985,984,13,314754,Choose the correct order of the events?,2,3,0
25044,1043,13,3161211,Choose the correct order of the events?,1,1,1
25076,1075,13,3166380,Choose the correct order of the events?,3,1,0
25133,1132,13,317760,Choose the correct order of the events?,2,0,0
25142,1141,13,3179022,Choose the correct order of the events?,3,0,0
25164,1163,13,3183850,Choose the correct order of the events?,3,0,0
25172,1171,13,3185933,Choose the correct order of the events?,1,1,1
25244,1243,13,3203491,Choose the correct order of the events?,0,0,1
25255,1254,13,3204713,Choose the correct order of the events?,2,1,0
25342,1341,13,3228561,Choose the correct order of the events?,1,2,0
25375,1374,13,323811,Choose the correct order of the events?,3,2,0
25427,1426,13,3252784,Choose the correct order of the events?,2,3,0
25459,1458,13,3262057,Choose the correct order of the events?,3,1,0
25489,1488,13,3268243,Choose the correct order of the events?,1,3,0
25566,1565,13,3285833,Choose the correct order of the events?,2,1,0
25583,1582,13,328976,Choose the correct order of the events?,3,1,0
25643,1642,13,3308525,Choose the correct order of the events?,2,3,0
25654,1653,13,3311096,Choose the correct order of the events?,3,0,0
25676,1675,13,3311351,Choose the correct order of the events?,3,3,1
25688,1687,13,3311574,Choose the correct order of the events?,0,2,0
25694,1693,13,3311687,Choose the correct order of the events?,1,2,0
25735,1734,13,3317080,Choose the correct order of the events?,2,0,0
25752,1751,13,3321707,Choose the correct order of the events?,3,0,0
25762,1761,13,332686,Choose the correct order of the events?,3,1,0
25784,1783,13,3332241,Choose the correct order of the events?,0,2,0
25803,1802,13,3338620,Choose the correct order of the events?,3,0,0
25859,1858,13,3355705,Choose the correct order of the events?,2,0,0
25909,1908,13,3371629,Choose the correct order of the events?,3,0,0
25938,1937,13,3381057,Choose the correct order of the events?,0,0,1
25961,1960,13,3390828,Choose the correct order of the events?,0,3,0
26012,11,14,3405598,Choose the correct order of the events?,3,2,0
26039,38,14,3416871,Choose the correct order of the events?,3,0,0
26043,42,14,34184,Choose the correct order of the events?,3,1,0
26053,52,14,3421885,Choose the correct order of the events?,0,1,0
26057,56,14,3422983,Choose the correct order of the events?,3,1,0
26084,83,14,3430893,Choose the correct order of the events?,0,1,0
26088,87,14,3431723,Choose the correct order of the events?,0,0,1
26117,116,14,344262,Choose the correct order of the events?,0,1,0
26157,156,14,3453748,Choose the correct order of the events?,2,1,0
26163,162,14,345581,Choose the correct order of the events?,3,2,0
26179,178,14,345854,Choose the correct order of the events?,2,1,0
26183,182,14,345877,Choose the correct order of the events?,3,2,0
26283,282,14,3497304,Choose the correct order of the events?,3,0,0
26287,286,14,3499755,Choose the correct order of the events?,3,2,0
26324,323,14,351156,Choose the correct order of the events?,3,3,1
26340,339,14,351460,Choose the correct order of the events?,1,0,0
26356,355,14,3521008,Choose the correct order of the events?,3,0,0
26469,468,14,3556001,Choose the correct order of the events?,2,3,0
26471,470,14,3556286,Choose the correct order of the events?,2,0,0
26479,478,14,3556948,Choose the correct order of the events?,1,0,0
26527,526,14,3567368,Choose the correct order of the events?,3,0,0
26557,556,14,3575382,Choose the correct order of the events?,3,1,0
26558,557,14,3575505,Choose the correct order of the events?,3,1,0
26687,686,14,3621079,Choose the correct order of the events?,3,1,0
26727,726,14,3632452,Choose the correct order of the events?,3,0,0
26728,727,14,3632465,Choose the correct order of the events?,2,3,0
26806,805,14,3658378,Choose the correct order of the events?,2,1,0
26815,814,14,3663194,Choose the correct order of the events?,3,1,0
26880,879,14,3684887,Choose the correct order of the events?,3,2,0
26893,892,14,368954,Choose the correct order of the events?,3,0,0
26999,998,14,3721258,Choose the correct order of the events?,2,3,0
27004,1003,14,3722421,Choose the correct order of the events?,0,1,0
27053,1052,14,373122,Choose the correct order of the events?,2,3,0
27070,1069,14,3735513,Choose the correct order of the events?,3,0,0
27078,1077,14,3738690,Choose the correct order of the events?,3,0,0
27081,1080,14,3739084,Choose the correct order of the events?,3,0,0
27097,1096,14,374398,Choose the correct order of the events?,1,2,0
27155,1154,14,3764021,Choose the correct order of the events?,3,0,0
27212,1211,14,378012,Choose the correct order of the events?,3,2,0
27280,1279,14,3797133,Choose the correct order of the events?,3,1,0
27334,1333,14,3817850,Choose the correct order of the events?,2,0,0
27381,1380,14,382907,Choose the correct order of the events?,1,1,1
27421,1420,14,384239,Choose the correct order of the events?,0,3,0
27523,1522,14,3863078,Choose the correct order of the events?,2,0,0
27524,1523,14,3863158,Choose the correct order of the events?,1,2,0
27569,1568,14,387809,Choose the correct order of the events?,1,2,0
27574,1573,14,3879449,Choose the correct order of the events?,3,1,0
27614,1613,14,388761,Choose the correct order of the events?,2,0,0
27621,1620,14,388859,Choose the correct order of the events?,1,0,0
27629,1628,14,3890880,Choose the correct order of the events?,2,3,0
27792,1791,14,393103,Choose the correct order of the events?,3,0,0
27838,1837,14,3949195,Choose the correct order of the events?,1,1,1
27864,1863,14,3955841,Choose the correct order of the events?,3,3,1
27893,1892,14,396351,Choose the correct order of the events?,1,3,0
28052,51,16,4551051,Choose the correct order of the events?,0,3,0
28074,73,16,4555200,Choose the correct order of the events?,2,1,0
28125,124,16,45638,Choose the correct order of the events?,2,1,0
28150,149,16,457155,Choose the correct order of the events?,3,0,0
28152,151,16,4572095,Choose the correct order of the events?,0,0,1
28255,254,16,4597066,Choose the correct order of the events?,2,0,0
28318,317,16,4613428,Choose the correct order of the events?,2,3,0
28328,327,16,461608,Choose the correct order of the events?,0,3,0
28371,370,16,462790,Choose the correct order of the events?,1,2,0
28399,398,16,463349,Choose the correct order of the events?,2,2,1
28465,464,16,464811,Choose the correct order of the events?,3,2,0
28476,475,16,4650664,Choose the correct order of the events?,3,0,0
28593,592,16,4673662,Choose the correct order of the events?,3,0,0
28815,814,16,4730511,Choose the correct order of the events?,3,0,0
28820,819,16,4731260,Choose the correct order of the events?,3,0,0
28852,851,16,4738007,Choose the correct order of the events?,3,2,0
28874,873,16,4743480,Choose the correct order of the events?,3,2,0
28912,911,16,4750720,Choose the correct order of the events?,2,0,0
28913,912,16,4750773,Choose the correct order of the events?,3,1,0
28928,927,16,4753114,Choose the correct order of the events?,3,0,0
28929,928,16,47532,Choose the correct order of the events?,0,1,0
29156,1155,16,4804422,Choose the correct order of the events?,0,1,0
29185,1184,16,4813177,Choose the correct order of the events?,0,2,0
29187,1186,16,4813884,Choose the correct order of the events?,3,0,0
29258,1257,16,483116,Choose the correct order of the events?,1,2,0
29267,1266,16,4833531,Choose the correct order of the events?,1,1,1
29310,1309,16,484392,Choose the correct order of the events?,0,3,0
29373,1372,16,4857708,Choose the correct order of the events?,1,0,0
29459,1458,16,487622,Choose the correct order of the events?,1,2,0
29467,1466,16,4876435,Choose the correct order of the events?,3,0,0
29534,1533,16,489157,Choose the correct order of the events?,3,1,0
29557,1556,16,489704,Choose the correct order of the events?,3,2,0
29958,1957,16,4993380,Choose the correct order of the events?,3,3,1
29979,1978,16,5000760,Choose the correct order of the events?,0,0,1
30011,10,17,500685,Choose the correct order of the events?,3,0,0
30031,30,17,5009812,Choose the correct order of the events?,2,1,0
30111,110,17,5026802,Choose the correct order of the events?,2,2,1
30114,113,17,5029024,Choose the correct order of the events?,3,1,0
30119,118,17,5032237,Choose the correct order of the events?,1,2,0
30137,136,17,5037152,Choose the correct order of the events?,2,0,0
30495,494,17,512463,Choose the correct order of the events?,3,2,0
30511,510,17,5128515,Choose the correct order of the events?,2,0,0
30512,511,17,5128688,Choose the correct order of the events?,3,2,0
30527,526,17,5133031,Choose the correct order of the events?,2,0,0
30554,553,17,514067,Choose the correct order of the events?,2,3,0
30594,593,17,5148634,Choose the correct order of the events?,1,2,0
30633,632,17,516442,Choose the correct order of the events?,3,3,1
30675,674,17,518130,Choose the correct order of the events?,3,0,0
30676,675,17,518136,Choose the correct order of the events?,3,1,0
30714,713,17,519036,Choose the correct order of the events?,2,1,0
30749,748,17,5199366,Choose the correct order of the events?,3,0,0
30772,771,17,520441,Choose the correct order of the events?,2,3,0
30782,781,17,5208514,Choose the correct order of the events?,3,0,0
