index,qid,passage,question,origanswer,generatedanswer
22,461f6b84f0a7e17b878a3fe39545c8ea,"text Chandelier, links text Chandelier, wiki_title Chandelier (song), url https//en.wikipedia.org/wiki/Chandelier_(song)","Question: 
The original artist with blonde hair who is included in Jordan Smith's career on The Voice in 2015 is associated with what song?
Answer Choices are: 
a. ""Chandelier""
b. ""Halo""
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
23,ce948e3aad8b8ab11bb9027269952eb0,"text Goldie, links text Goldie, wiki_title Goldie, url https//en.wikipedia.org/wiki/Goldie","Question: 
Track no. 17 on the She's All That sountrack is performed by this person with what color teeth?
Answer Choices are: 
a. silver
b. gold
Specify their correct answer by choosing one of a or b: 
",b,Goldie
24,4ad5e21f392a4508bf6c9141c09c7eca,"text Billy Joel, links text Billy Joel, wiki_title Billy Joel, url https//en.wikipedia.org/wiki/Billy_Joel","Question: 
The musician who performed at PNC Park, making $4,627,472, has what color hair?
Answer Choices are: 
a. grey
b. black
Specify their correct answer by choosing one of a or b: 
",a,Billy_Joel
25,d5cf090af397faec8d3e5c11ec8f292b,"text Billy Joel, links text Billy Joel, wiki_title Billy Joel, url https//en.wikipedia.org/wiki/Billy_Joel","Question: 
What is the hair color of the artist who drew 39,500 fans to a concert at PNC Park?
Answer Choices are: 
a. grey
b. pink
Specify their correct answer by choosing one of a or b: 
",a,Billy_Joel
26,d44f03f91a8595ca2c4820b8bce749ad,"text Romain Grosjean, links text Romain Grosjean, wiki_title Romain Grosjean, url https//en.wikipedia.org/wiki/Romain_Grosjean","Question: 
Which driver wearing sunglasses had a position of Ret in the Austrian Grand Prix race of 2015?
Answer Choices are: 
a. Romain Grosjean
b. Felipe Nasr
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
27,d8e3d56666a5e189a5f5c56f9d282c23,"text Britannia Stadium, links text Britannia Stadium, wiki_title Britannia Stadium, url https//en.wikipedia.org/wiki/Britannia_Stadium","Question: 
What was the W. Midlands region football stadium in the town with a metal sculpture of a tree?
Answer Choices are: 
a. Villa Park
b. Britannia Stadium
Specify their correct answer by choosing one of a or b: 
",b,Britannia_Stadium
28,fd01377497b2d5d0125f7df3dea1d4e2,"text Rusty Wallace, links text Rusty Wallace, wiki_title Rusty Wallace, url https//en.wikipedia.org/wiki/Rusty_Wallace","Question: 
The driver who had 165 points in the 2000 DirecTV 500 is wearing what over his eyes?
Answer Choices are: 
a. sunglasses
b. eye contacts
Specify their correct answer by choosing one of a or b: 
",a,Rusty Wallace
29,fbda83912976ecf3cf354119e01781c5,"text Dale Earnhardt, links text Dale Earnhardt, wiki_title Dale Earnhardt, url https//en.wikipedia.org/wiki/Dale_Earnhardt","Question: 
The 2000 DirecTv 500 Top 10 Driver with 146 points has a person behind them holding what?
Answer Choices are: 
a. microphone
b. camera
Specify their correct answer by choosing one of a or b: 
",b,Dale_Earnhardt
30,4fa3f35a004a0629d02e2381c4c139f6,"text Home and Away, links text Home and Away, wiki_title Home and Away, url https//en.wikipedia.org/wiki/Home_and_Away","Question: 
What's the person count on the J. Ber 2006 series poster?
Answer Choices are: 
a. two
b. one
Specify their correct answer by choosing one of a or b: 
",a,Home_and_Away
31,d465f179d1ef6b29a3898eda0ac47169,"text WCGA, links text WCGA, wiki_title 1998 FIFA World Cup#Group A, url https//en.wikipedia.org/wiki/1998_FIFA_World_Cup#Group_A","Question: 
In what competition did the Scottish national football team play in 1997-98 against the team whose logo features two stars and rooster, at the Saint-Denis (N) venue?
Answer Choices are: 
a. WCFA
b. WCGA
Specify their correct answer by choosing one of a or b: 
",b,FIFA World Cup#Group A
32,f4ef98c90642ee7941362298ee90b23e,"text Albacete, links text Albacete, wiki_title Albacete Balompié, url https//en.wikipedia.org/wiki/Albacete_Balompié","Question: 
Among winning teams in the 1987-1999 La Liga playoffs, which team (whose logo does not feature a crown) won against Mallorca?
Answer Choices are: 
a. Almerââ a
b. Albacete
Specify their correct answer by choosing one of a or b: 
",b,Albacete_Balompié
33,7eadd8494f282eada11743a46449f8e9,"text Extremadura, links text Extremadura, wiki_title CF Extremadura, url https//en.wikipedia.org/wiki/CF_Extremadura","Question: 
Which team that does not have a crown on its logo won the La Liga play-offs in the 1996 season?
Answer Choices are: 
a. Celta Vigo
b. Extremadura
Specify their correct answer by choosing one of a or b: 
",b,CF_Extremadura
34,d7f230ace16be2beb4e99501dfcd14c7,"text América, links text América, wiki_title Club América, url https//en.wikipedia.org/wiki/Club_América","Question: 
Does Tijuana or a club with a map of American continents on their logo have a higher rank in the list of Clean sheets Liga MX season of 2016-17?
Answer Choices are: 
a. AmâÂ©rica
b. Chivas
Specify their correct answer by choosing one of a or b: 
",a,Club_América
35,f1e8013ee6ad0d34bab443d1c3e06b7a,"text The Royal, links text The Royal, wiki_title The Royal, url https//en.wikipedia.org/wiki/The_Royal","Question: 
In Oliver Mellor's Dr. Guy Fitzgerald TV title what kind of landscape is being driven through?
Answer Choices are: 
a. desert
b. seascape
Specify their correct answer by choosing one of a or b: 
",a,The_Royal
36,31adbb5c3f33e87d8abaebc5e4dd1723,"text FC Eindhoven, links text FC Eindhoven, wiki_title FC Eindhoven, url https//en.wikipedia.org/wiki/FC_Eindhoven","Question: 
Among teams whose logos contain a soccer ball, and who played in the Third round of the 2003-04 KNVB Cup, which teams achieved a score of 0-1 when they were playing at home?
Answer Choices are: 
a. FC Eindhoven
b. Willem II Tilburg
Specify their correct answer by choosing one of a or b: 
",a,text FC Eindhoven
37,402b6e2f6251c8f1c1889a0912e1b294,"text Family Guy, links text Family Guy, wiki_title Family Guy, url https//en.wikipedia.org/wiki/Family_Guy","Question: 
Among the TV shows that Tuck Tucker was involved in, which one has people on its logo and featured his contributions from 2005-06?
Answer Choices are: 
a. American Dad!
b. Family Guy
Specify their correct answer by choosing one of a or b: 
",b,Family_Guy
38,68cba0a8918f20ae797c11c09da7c50b,"text Kallang Bahru, links text Kallang Bahru, wiki_title Kallang Bahru, url https//en.wikipedia.org/wiki/Kallang_Bahru","Question: 
Among Kallang's subdivisions, which subzone has an MRT station and bus accessbility in a city that houses a white-domed building with a yellow banner
Answer Choices are: 
a. Kallang Bahru
b. Bishan
Specify their correct answer by choosing one of a or b: 
",a,"Kallang Bahru, wiki_title"
39,4926806c9085b968a453c0b6a704d7e0,"text Boon Keng MRT station and buses, links ","Question: 
Among Kallang subdivisions, what is the accessibility listed for the subzone that that has a yellow banner on the wall of a white-domed building?
Answer Choices are: 
a. Boon Keng MRT station and buses
b. Boon Keng MRT station and water fountain
Specify their correct answer by choosing one of a or b: 
",a,links
40,4dfe45964305a6b134c66c37eee62f69,"text 1 July 2017, links ","Question: 
What date during the 2017-18 Port Vale F.C. season did a transfer come from the team that features an anchor on its logo?
Answer Choices are: 
a. 1-Jul-17
b. 1-Jun-17
Specify their correct answer by choosing one of a or b: 
",a,1-Jul-17
41,2ead003be509d9a48bd9b81f39d51e5d,"text Joe Davis, links text Joe Davis, wiki_title Joe Davis (footballer, born 1993), url https//en.wikipedia.org/wiki/Joe_Davis_(footballer,_born_1993)","Question: 
Who transferred to Port Vale F.C. in the 2017-18 season from the club with an anchor on its logo?
Answer Choices are: 
a. Joe Davis
b. Joe Dent
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
42,cbbd689a5752b58ca1382b0cf944caaa,"text Free transfer, links ","Question: 
Among incoming transfers to Port Vale F.C. during the 2017-18 season, what fee was associated with the transfer from the team that feature an anchor on their logo?
Answer Choices are: 
a. Free transfer
b. Paid transfer
Specify their correct answer by choosing one of a or b: 
",a,links
43,68ab62ef21e005c78ca20e88f49438c9,"text Montebelluna, links text Montebelluna, wiki_title Calcio Montebelluna, url https//en.wikipedia.org/wiki/Calcio_Montebelluna","Question: 
The 16th in Serie D Girone C 2012-13 Girone C 2013-14 Serie D club logo is in what shape?
Answer Choices are: 
a. oval
b. rectangle
Specify their correct answer by choosing one of a or b: 
",a,Montebelluna
44,e044914539ef2db0b24de072d9a869e2,"text Walt Disney Home Entertainment, links ","Question: 
Of the movies that were made available on home video in 1980, which studio released the movie whose poster features a flower?
Answer Choices are: 
a. 20th Century Fox Home Entertainment
b. Walt Disney Home Entertainment
Specify their correct answer by choosing one of a or b: 
",b,Walt Disney Home Entertainment
45,0b56f39096007e1143b1ca2d6267d7d7,"text Rome, links text Rome, wiki_title Rome, url https//en.wikipedia.org/wiki/Rome","Question: 
For the location where the newspaper in the list of national daily newspapers in Italy which was established in 1976 is headquartered, what is at the top of the building in the top right of its collage?
Answer Choices are: 
a. dome
b. minaret
Specify their correct answer by choosing one of a or b: 
",a,Rome
46,403254de8ab1ef74034a087dad0604f0,"text Rome, links text Rome, wiki_title Rome, url https//en.wikipedia.org/wiki/Rome","Question: 
In this collage of the headquarters of the listed daily newspaper in Italy, la Repubblica, what is at the top of the building in the top right?
Answer Choices are: 
a. spire
b. dome
Specify their correct answer by choosing one of a or b: 
",b,Rome
47,54597fa0f57173de2f56564224108f03,"text Rome, links text Rome, wiki_title Rome, url https//en.wikipedia.org/wiki/Rome","Question: 
What can be seen at the top of the building shown in the top-right of a collection of photos of the city that houses the headquarters of the Italian daily newspaper with circulation of 198,835?
Answer Choices are: 
a. dome
b. sky
Specify their correct answer by choosing one of a or b: 
",a,text Rome
48,953929460fbb9d220e0812d48e6ba3a3,"text Colonel, links text Colonel, wiki_title Colonel, url https//en.wikipedia.org/wiki/Colonel","Question: 
When looking at Iqroop Singh Ghuman's dates of rank in the Indian Army, which of these ranks feature a star?
Answer Choices are: 
a. Colonel
b. Lieutenant
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
49,72f7568e1e5281a80e2361a7ea2eb65d,"text Indian Army, links ","Question: 
When looking at the dates of rank for Iqroop Singh Ghuman, what branch of which military is listed under ""Component"" when the rank is shown with 3 stars above two crossed swords?
Answer Choices are: 
a. Pakistani Army
b. Indian Army
Specify their correct answer by choosing one of a or b: 
",b,Indian Army
50,d748cfac1c3f46e4bde6b411a09f537d,"text 1 October 2005, links ","Question: 
On what date did Iqroop Singh Ghuman achieve the rank that is signified by 3 stars above a pair of crossed swords?
Answer Choices are: 
a. 1-Oct-05
b. 1-Oct-06
Specify their correct answer by choosing one of a or b: 
",a,1-Oct-05
51,5c8590ec6debb63fba8813f9ee9ec7a0,"text 16 December 2004, links ","Question: 
In the officers' rank insignia shown here, one such rank whose insignia features three stars above a pair of crossed swords.  On what date did Iqroop Singh Ghuman achieve, in his nation's army, the rank that consists of two hyphenated words: ""Lieutenant"" followed by the word that was just alluded to?
Answer Choices are: 
a. 17-Dec-04
b. 16-Dec-04
Specify their correct answer by choosing one of a or b: 
",b,16-Dec-04
52,aad45d5ad3b2c1d71b20b7bc834a902f,"text Jeff Gordon, links text Jeff Gordon, wiki_title Jeff Gordon, url https//en.wikipedia.org/wiki/Jeff_Gordon","Question: 
The 2015 AAA Texas 500 4,082 driver is autographing what?
Answer Choices are: 
a. car
b. chair
Specify their correct answer by choosing one of a or b: 
",a,Jeff_Gordon
53,05b0acff48113f042f5374c8603b2831,"text New York Yankees, links text New York Yankees, wiki_title New York Yankees, url https//en.wikipedia.org/wiki/New_York_Yankees","Question: 
Among MLB teams that are currently affiliated with the International League, which was founded first: The Tampa Bay Rays, or the major-league team that have a baseball bat on their logo?
Answer Choices are: 
a. The Seattle Mariners
b. New York Yankees
Specify their correct answer by choosing one of a or b: 
",b,New_York_Yankees
54,d524a6f07006908fad06f7e1969537fe,"text Moosic, Pennsylvania, links text Moosic, wiki_title Moosic, Pennsylvania, url https//en.wikipedia.org/wiki/Moosic,_Pennsylvania, text Pennsylvania, wiki_title Pennsylvania, url https//en.wikipedia.org/wiki/Pennsylvania","Question: 
In the International League, what city's current team has a MLB Affiliation that has a logo featuring a baseball bat?
Answer Choices are: 
a. Moosic, Pennsylvania
b. Moosic
Specify their correct answer by choosing one of a or b: 
",a,wiki_title
55,16df93d45728bbd9845859beedbb9894,"text Coca-Cola Park, links text Coca-Cola Park, wiki_title Coca-Cola Park (Allentown), url https//en.wikipedia.org/wiki/Coca-Cola_Park_(Allentown)","Question: 
The Lehigh Valley IronPigs play in this stadium with what color flags on the logo?
Answer Choices are: 
a. blue
b. red
Specify their correct answer by choosing one of a or b: 
",b,text Coca-Cola Park
56,268c5a98b21290b608c17b70139da2e3,"text Coolray Field, links text Coolray Field, wiki_title Coolray Field, url https//en.wikipedia.org/wiki/Coolray_Field","Question: 
the stadium with the city that has a tower with the top part only colored in white, in the current teams of International League, is?
Answer Choices are: 
a. NBT Bank Stadium
b. Coolray Field
Specify their correct answer by choosing one of a or b: 
",b,"wiki_title Coolray Field, url https//en.wikipedia.org/wiki/Coolray_Field"
57,bad10318be148848bbcc1970faf00de0,"text Toledo Mud Hens, links text Toledo Mud Hens, wiki_title Toledo Mud Hens, url https//en.wikipedia.org/wiki/Toledo_Mud_Hens","Question: 
Among teams currently in the International League, which of the following two teams was affiliated first: The Toledo Mud Hens, or the team whose logo features a sailing vessel?
Answer Choices are: 
a. The Norfolk Tides
b. Toledo Mud Hens
Specify their correct answer by choosing one of a or b: 
",b,wiki_title
58,ce02e9912a95c1260ba896cc3fbb981c,"text North, links ","Question: 
Among current International-League teams, in what division will one find the team whose MLB-affiliate have a baseball bat on their logo?
Answer Choices are: 
a. North
b. South
Specify their correct answer by choosing one of a or b: 
",a,text North
59,ddeab2eb828ece8e2e82362d966b3857,"text Charlotte Knights, links text Charlotte Knights, wiki_title Charlotte Knights, url https//en.wikipedia.org/wiki/Charlotte_Knights","Question: 
Was the Team that has a ship in logo or Charlotte Knights, the one with earlier affiliation in Current teams of International League?
Answer Choices are: 
a. Charlotte Knights
b. Columbus Clippers
Specify their correct answer by choosing one of a or b: 
",a,wiki_title Charlotte Knights
60,73b970ab28c5c050190218c920d17984,"text 2009, links ","Question: 
Among teams currently in the International League, what is the ""Affiliated"" date for the team whose logo features a ship?
Answer Choices are: 
a. 2008
b. 2009
Specify their correct answer by choosing one of a or b: 
",b,links
61,4a4125f4601371ca73f1d55f60632919,"text Coca-Cola Park, links text Coca-Cola Park, wiki_title Coca-Cola Park (Allentown), url https//en.wikipedia.org/wiki/Coca-Cola_Park_(Allentown)","Question: 
The International League Allentown, Pennsylvania current team stadium has what color flags?
Answer Choices are: 
a. green
b. red
Specify their correct answer by choosing one of a or b: 
",b,Coca-Cola Park
62,cc2b51d9bc3c0791f50f51239c256ef2,"text PNC Field, links text PNC Field, wiki_title PNC Field, url https//en.wikipedia.org/wiki/PNC_Field","Question: 
What was the stadium of the Current team in the International League when the MLB Affiliation has a team logo featuring a baseball bat?
Answer Choices are: 
a. Fenway Park
b. PNC Field
Specify their correct answer by choosing one of a or b: 
",b,PNC_Field
63,dd4cae44d7d9f4715af25cf16a413278,"text 10,000, links ","Question: 
What is the capacity associated with the current International-League team who are affiliated with the Major-League team with a baseball bat on their logo?
Answer Choices are: 
a. 10,000
b. 20,000
Specify their correct answer by choosing one of a or b: 
",a,links
64,5f328e609e4c5d569a2de6840762ac6f,"text Maj. Gen. Henry Heth, links ","Question: 
What role did Warren Burton play in the film title that has a poster that does not have humans on it?
Answer Choices are: 
a. Dr. Henry Heth
b. Maj. Gen. Henry Heth
Specify their correct answer by choosing one of a or b: 
",b,links
65,af85e51a990e01b1e6b14c5622eb45f4,"text Green Lantern, links text Green Lantern, wiki_title Green Lantern (film), url https//en.wikipedia.org/wiki/Green_Lantern_(film)","Question: 
Warren Burton has a role in a film in 2011 with how many people on the poster?
Answer Choices are: 
a. 3
b. 4
Specify their correct answer by choosing one of a or b: 
",b,text Green Lantern
66,12d87395271d38b261c816094ad52e08,"text Green Lantern, links text Green Lantern, wiki_title Green Lantern (film), url https//en.wikipedia.org/wiki/Green_Lantern_(film)","Question: 
The poster for the movie starring Warren Burton as the First Guardian has how many people?
Answer Choices are: 
a. 4
b. 5
Specify their correct answer by choosing one of a or b: 
",a,text Green Lantern
67,bd9e3438bc549b29bfce0da6885933b2,"text Blackburn Rovers, links text Blackburn Rovers, wiki_title Blackburn Rovers F.C., url https//en.wikipedia.org/wiki/Blackburn_Rovers_F.C.","Question: 
Does Accrington or club with rose on logo have higher position in 1888-89 Accrington F.C. season final league table?
Answer Choices are: 
a. Blackburn Rovers
b. The club with the rose on its logo
Specify their correct answer by choosing one of a or b: 
",a,"Blackburn Rovers, wiki_title Blackburn Rovers F.C."
68,70d449c2a4708b8e60d2e33ec2af8cc1,"text América, links text América, wiki_title Club América, url https//en.wikipedia.org/wiki/Club_América","Question: 
During the 2011 World Football Challenge in CONCACAF, which team has a smaller number of Goals For: Manchester City or the team with a map of the Americas on their logo?
Answer Choices are: 
a. AmâÂ©rica
b. Atlantis
Specify their correct answer by choosing one of a or b: 
",a,text América
69,a17dcd258bbcfb50aed1240219d20d40,"text Sayonara no Imi, links text Sayonara no Imi, wiki_title Sayonara no Imi, url https//en.wikipedia.org/wiki/Sayonara_no_Imi","Question: 
Among the Japanese songs listed on Billboard Japan's 2016 edition, which of the singles ranked higher: ""Fukkatsu Love"" or the song whose cover shows women gathered on a couch?
Answer Choices are: 
a. ""Sayonara no Imi""
b. ""Fukkatsu Love""
Specify their correct answer by choosing one of a or b: 
",a,Sayonara_no_Imi
70,4ea9bb6420dd36c7a8ef8b0a6a553fb9,"text Nogizaka46, links text Nogizaka46, wiki_title Nogizaka46, url https//en.wikipedia.org/wiki/Nogizaka46","Question: 
Among Japanese musical works listed in 2016 by Billboard Japan, who performed the single whose cover features women on a couch?
Answer Choices are: 
a. Karen Girl's
b. Nogizaka46
Specify their correct answer by choosing one of a or b: 
",b,Nogizaka46
71,c1e130e2f3111b09b4bdfc9d5e9c9806,"text 918,000, links ","Question: 
what was the Copies, in the billboard japan of 2016 in Japanese music when the Single cover has women on a couch?
Answer Choices are: 
a. 917,000
b. 918,000
Specify their correct answer by choosing one of a or b: 
",b,"918,000"
72,0bbdf8ccd94e09b9d10f2916b5372968,"text Fall Out Boy, links text Fall Out Boy, wiki_title Fall Out Boy, url https//en.wikipedia.org/wiki/Fall_Out_Boy","Question: 
The man in the very back playing with the artist who made a guest apperance with William Beckett in 2005 is playing what instrument?
Answer Choices are: 
a. piano
b. drums
Specify their correct answer by choosing one of a or b: 
",b,Fall Out Boy
73,ef41142786d1681cfda79484efea9b0a,"text Uncle, links ","Question: 
What role did Dimiter Marinov play in the television show that has a sun on its poster?
Answer Choices are: 
a. Uncle
b. Parent
Specify their correct answer by choosing one of a or b: 
",a,links
74,655fafdc965df5f8bc177e385b0c4782,"text Scorpion, links text Scorpion, wiki_title Scorpion (TV series), url https//en.wikipedia.org/wiki/Scorpion_(TV_series)","Question: 
Which TV show did Dimiter Marinov appear in first: ""Scorpion"" or the show with a round neon sign on its poster?
Answer Choices are: 
a. Beverly Hills 90210
b. Scorpion
Specify their correct answer by choosing one of a or b: 
",b,TV
75,a714f69409a415d811cb00ac7a2810ce,"text 2017, links ","Question: 
In what year did Dimiter Marinov appear in the TV show whose poster shows a round neon sign?
Answer Choices are: 
a. 2017
b. 2018
Specify their correct answer by choosing one of a or b: 
",a,2017
76,bccab51e49716026641d46dff9ab9c5d,"text 2011, links ","Question: 
When did Dimiter Marinov appear in the TV show that has a sun on its poster?
Answer Choices are: 
a. 2013
b. 2011
Specify their correct answer by choosing one of a or b: 
",b,text 2011
77,7be7e7b64f831d202c85e9bdcf167921,"text Landlord, links ","Question: 
What part did Dimiter Marinov play in the TV show whose poster has a round neon sign?
Answer Choices are: 
a. Bartender
b. Landlord
Specify their correct answer by choosing one of a or b: 
",b,text Landlord
